id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
387877,87,4,3,19,1,30,43,37.0,17.0
387968,87,8,1,5,1,32,62,40.0,89.0
388035,87,12,0,9,27,19,62,26.0,54.0
388044,87,13,3,13,26,47,66,81.0,54.0
388067,87,14,3,12,20,53,49,56.0,83.0
388167,87,20,0,1,27,20,33,28.0,31.0
388220,87,22,3,19,1,21,61,32.0,58.0
388327,87,28,0,1,22,36,73,27.0,97.0
388366,87,30,3,19,1,48,61,47.0,35.0
388440,87,34,2,2,20,8,64,23.0,78.0
388463,87,35,0,9,22,56,65,57.0,54.0
388476,87,36,0,9,27,43,58,46.0,56.0
388478,87,36,0,8,27,46,56,44.0,51.0
388484,87,38,3,19,1,39,33,31.0,56.0
388486,87,38,3,19,1,35,40,45.0,13.0
388496,87,38,3,19,1,44,47,40.0,80.0
388516,87,39,0,1,27,68,78,75.0,79.0
388589,87,44,3,12,1,42,64,62.0,86.0
388598,87,44,3,12,1,30,87,30.0,92.0
388644,87,47,0,8,27,5,19,6.0,24.0
388687,87,50,0,10,27,33,27,28.0,28.0
388715,87,51,0,10,22,91,47,91.0,44.0
388717,87,51,0,1,27,91,44,94.0,42.0
388758,87,53,0,9,22,66,92,69.0,96.0
388867,87,58,3,19,1,56,46,60.0,63.0
388880,87,58,3,19,1,42,42,55.0,4.0
388938,87,62,3,19,1,36,43,43.0,76.0
388956,87,63,0,1,27,25,40,26.0,26.0
388971,87,64,3,19,1,28,61,37.0,60.0
389006,87,67,3,19,1,21,65,33.0,7.0
389052,87,69,3,19,1,29,46,31.0,22.0
389084,87,71,3,19,1,36,42,37.0,11.0
389112,87,72,3,19,1,24,56,38.0,3.0
389120,87,73,0,9,27,26,31,15.0,71.0
389145,87,74,0,1,27,27,62,37.0,55.0
389170,87,75,3,19,1,37,53,43.0,63.0
389235,87,81,3,19,1,27,34,27.0,74.0
389243,87,81,3,19,1,48,46,44.0,72.0
387805,93,0,0,9,22,18,89,27.0,95.0
387838,93,1,3,13,1,21,94,59.0,89.0
387854,93,1,0,8,22,3,81,1.0,80.0
387883,93,4,3,19,1,37,69,99.0,55.0
387900,93,5,0,1,27,31,57,46.0,49.0
387969,93,8,3,19,1,40,89,48.0,98.0
387986,93,9,3,12,20,32,68,46.0,53.0
388003,93,11,0,1,27,5,50,0.0,0.0
388052,93,13,3,19,1,57,88,72.0,94.0
388074,93,14,0,9,27,63,95,77.0,81.0
388140,93,19,3,19,1,46,63,52.0,92.0
388142,93,19,3,19,1,38,61,31.0,31.0
388152,93,19,0,8,27,29,78,34.0,76.0
388153,93,19,3,19,1,34,76,33.0,94.0
388158,93,19,1,5,1,30,92,35.0,67.0
388235,93,23,3,12,1,20,87,44.0,88.0
388298,93,26,3,19,1,18,81,28.0,74.0
388302,93,26,3,19,20,28,88,28.0,91.0
388328,93,28,3,19,1,27,97,22.0,82.0
388364,93,30,3,19,1,47,88,42.0,94.0
388443,93,34,3,12,20,14,73,30.0,68.0
388471,93,35,3,19,1,50,83,55.0,96.0
388497,93,38,3,19,1,40,80,57.0,97.0
388528,93,39,3,19,1,23,91,8.0,62.0
388539,93,40,3,19,1,25,94,45.0,96.0
388541,93,40,3,19,1,26,89,4.0,54.0
388575,93,43,3,19,1,57,86,67.0,99.0
388582,93,43,3,13,1,55,95,60.0,32.0
388587,93,43,3,19,1,60,77,59.0,48.0
388592,93,44,3,13,1,36,94,81.0,94.0
388599,93,44,3,19,1,30,92,35.0,41.0
388620,93,46,0,8,27,49,97,46.0,95.0
388632,93,46,3,19,1,70,92,63.0,91.0
388651,93,47,3,13,1,34,72,77.0,88.0
388811,93,55,3,12,20,46,69,45.0,66.0
388815,93,55,0,9,22,35,68,42.0,72.0
388852,93,57,3,13,1,25,47,58.0,15.0
388868,93,58,3,19,1,60,63,66.0,92.0
388883,93,59,3,19,1,61,73,68.0,50.0
388904,93,60,0,8,27,6,51,9.0,50.0
388939,93,62,3,19,1,43,76,55.0,85.0
388941,93,62,3,19,1,42,78,57.0,71.0
388970,93,64,3,12,20,23,71,28.0,61.0
388981,93,66,3,13,1,21,84,61.0,60.0
388984,93,66,3,19,1,31,65,35.0,89.0
388994,93,66,3,19,1,29,71,38.0,89.0
389003,93,66,1,5,1,29,90,33.0,69.0
389005,93,67,3,19,1,31,76,21.0,65.0
389046,93,69,0,9,22,4,88,100.0,100.0
389077,93,71,1,5,1,38,85,49.0,72.0
389107,93,72,1,21,1,11,100,16.0,89.0
389111,93,72,1,5,1,21,92,24.0,56.0
389122,93,73,3,19,1,15,71,6.0,44.0
389167,93,75,3,13,1,57,80,44.0,10.0
389173,93,75,0,8,27,60,83,60.0,72.0
389174,93,75,3,19,1,60,72,49.0,75.0
