id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
1695018,17,0,3,19,1,30,69,56.0,16.0
1695022,17,0,3,19,1,36,63,43.0,90.0
1695029,17,0,3,19,1,55,73,75.0,94.0
1695034,17,0,3,19,1,59,76,53.0,47.0
1695066,17,2,3,12,1,26,46,13.0,49.0
1695068,17,2,3,19,1,26,69,36.0,23.0
1695105,17,4,3,19,1,34,60,35.0,81.0
1695113,17,4,3,19,1,63,79,65.0,99.0
1695147,17,7,3,19,1,47,58,50.0,32.0
1695153,17,7,3,13,1,57,74,89.0,84.0
1695177,17,8,3,19,1,43,66,62.0,70.0
1695204,17,10,3,19,1,28,75,35.0,40.0
1695216,17,10,3,13,1,54,56,88.0,85.0
1695229,17,11,0,1,27,89,50,86.0,47.0
1695231,17,11,5,18,13,86,47,0.0,0.0
1695253,17,12,3,19,1,24,61,56.0,90.0
1695368,17,18,3,19,1,55,73,68.0,94.0
1695372,17,18,3,19,1,55,83,68.0,94.0
1695422,17,21,0,1,27,41,90,47.0,100.0
1695439,17,22,3,19,1,33,67,43.0,93.0
1695441,17,22,3,19,1,31,67,33.0,46.0
1695462,17,23,3,19,1,37,53,39.0,26.0
1695553,17,28,3,19,1,48,51,56.0,31.0
1695560,17,28,3,19,1,55,83,59.0,42.0
1695590,17,31,3,19,1,41,67,34.0,35.0
1695605,17,32,3,19,1,25,70,55.0,96.0
1695613,17,32,3,19,1,37,75,37.0,39.0
1695617,17,32,3,19,1,48,59,55.0,91.0
1695642,17,34,3,19,1,56,78,68.0,96.0
1695648,17,35,3,19,1,63,77,53.0,50.0
1695662,17,35,3,19,1,63,75,63.0,86.0
1695718,17,38,0,10,27,54,54,49.0,46.0
1695724,17,38,3,19,1,59,73,52.0,46.0
1695735,17,39,3,19,1,32,36,41.0,80.0
1695755,17,40,3,19,1,55,55,61.0,76.0
1695762,17,40,3,19,1,42,97,21.0,42.0
1695855,17,44,3,19,20,28,40,35.0,17.0
1695861,17,44,0,9,22,27,37,27.0,30.0
1695871,17,45,3,19,1,59,66,67.0,85.0
1695875,17,45,3,19,1,58,68,64.0,21.0
1695945,17,49,3,19,1,13,90,11.0,40.0
1696020,17,54,0,1,27,28,23,36.0,24.0
1696044,17,55,0,8,22,7,84,6.0,92.0
1696133,17,61,3,19,1,32,59,70.0,90.0
1696181,17,64,3,19,1,63,84,74.0,94.0
1696196,17,66,3,19,1,32,68,57.0,93.0
1696198,17,66,3,19,1,38,68,38.0,30.0
1696217,17,67,3,12,1,21,42,30.0,6.0
1696229,17,67,3,19,1,42,85,24.0,53.0
1696298,17,71,3,19,1,42,65,58.0,30.0
1696325,17,72,3,19,20,26,50,27.0,83.0
1696336,17,72,3,19,1,63,53,62.0,65.0
1696359,17,74,3,12,1,36,70,63.0,64.0
1696369,17,74,3,19,1,34,71,45.0,43.0
1696374,17,75,3,19,1,50,58,60.0,95.0
1696384,17,75,3,19,1,28,44,12.0,44.0
1696394,17,76,3,19,1,41,71,49.0,94.0
1696407,17,77,0,1,27,34,69,56.0,71.0
1696464,17,81,1,5,1,13,87,8.0,53.0
1696475,17,81,3,19,1,50,56,82.0,88.0
1696478,17,82,3,19,1,58,69,53.0,45.0
1696495,17,83,3,19,1,25,58,44.0,84.0
1696498,17,83,3,19,1,55,69,52.0,45.0
1696506,17,84,0,1,27,37,43,58.0,35.0
1696529,17,85,3,19,1,49,63,72.0,88.0
1696562,17,86,0,1,27,95,58,94.0,54.0
1696570,17,88,3,19,1,56,68,78.0,87.0
1696583,17,88,0,9,22,39,86,42.0,89.0
1696588,17,88,3,19,1,38,64,52.0,86.0
1696607,17,90,3,19,1,62,76,63.0,59.0
1695928,21,48,0,8,22,86,4,85.0,0.0
1695931,21,48,1,21,1,85,0,77.0,2.0
1695992,21,53,3,19,1,66,29,43.0,31.0
1696008,21,54,1,3,19,100,1,98.0,76.0
1696119,21,60,3,19,1,65,18,69.0,29.0
1696127,21,61,3,12,20,46,6,36.0,13.0
1696150,21,63,3,19,1,19,11,22.0,25.0
1696201,21,66,3,19,1,73,11,62.0,26.0
1696222,21,67,3,12,1,45,9,48.0,31.0
1696233,21,67,3,19,1,76,9,61.0,13.0
1696254,21,68,3,19,1,68,27,79.0,6.0
1696303,21,71,0,8,22,70,29,65.0,42.0
1696305,21,71,3,19,1,65,42,74.0,40.0
1696319,21,72,3,12,1,58,20,47.0,24.0
1696330,21,72,0,8,27,67,12,68.0,25.0
1696332,21,72,3,19,1,68,25,53.0,32.0
1696335,21,72,3,19,1,70,14,63.0,53.0
1696354,21,73,1,3,19,100,0,90.0,53.0
1696372,21,74,3,19,1,70,6,53.0,9.0
1696438,21,79,3,13,1,50,22,56.0,83.0
1696452,21,80,0,1,27,89,63,91.0,61.0
1696468,21,81,0,8,27,66,18,68.0,35.0
1696470,21,81,3,19,1,68,35,73.0,60.0
1696501,21,83,3,4,19,71,8,95.0,67.0
1696525,21,84,0,8,27,60,30,61.0,42.0
1696527,21,85,3,19,1,61,42,73.0,67.0
1696560,21,86,1,3,19,100,0,95.0,58.0
1696611,21,90,3,4,19,72,4,89.0,45.0
1696659,21,94,3,19,1,60,8,43.0,16.0
1696666,21,94,3,19,1,63,3,70.0,24.0
1695017,111,0,3,19,1,31,86,30.0,69.0
1695023,111,0,3,19,1,43,90,60.0,68.0
1695025,111,0,3,19,1,43,90,45.0,49.0
1695033,111,0,3,19,1,69,96,59.0,76.0
1695106,111,4,3,19,1,35,81,9.0,52.0
1695125,111,6,3,19,1,40,88,65.0,95.0
1695127,111,6,3,19,1,42,89,31.0,68.0
1695151,111,7,3,19,1,54,89,62.0,33.0
1695179,111,8,3,19,1,66,96,61.0,64.0
1695184,111,9,3,19,1,70,79,78.0,84.0
