id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
740328,369,0,3,19,1,30,45,31.0,81.0
740330,369,0,3,19,1,32,46,31.0,19.0
740357,369,2,3,19,1,31,60,50.0,82.0
740365,369,2,3,19,1,20,62,37.0,91.0
740391,369,3,3,19,1,25,49,23.0,16.0
740393,369,4,3,19,1,18,50,30.0,45.0
740470,369,7,3,19,1,27,50,29.0,86.0
740502,369,8,0,9,22,25,10,30.0,12.0
740626,369,15,3,19,1,20,9,35.0,26.0
740700,369,18,3,19,1,38,49,61.0,71.0
740706,369,18,3,19,1,43,47,60.0,67.0
740734,369,20,3,19,1,34,56,36.0,88.0
740761,369,21,3,19,1,26,49,25.0,78.0
740763,369,21,3,19,1,23,56,47.0,42.0
740765,369,21,3,19,1,43,53,37.0,85.0
740814,369,23,3,19,1,19,67,45.0,36.0
740824,369,24,1,5,1,26,70,42.0,74.0
740870,369,26,3,19,1,27,55,41.0,69.0
740872,369,26,3,19,1,32,41,46.0,28.0
740874,369,27,3,19,1,37,51,60.0,58.0
740885,369,27,3,19,5,16,84,28.0,95.0
740905,369,28,3,19,1,59,76,64.0,95.0
740916,369,28,3,19,1,23,69,32.0,23.0
740918,369,29,3,19,1,30,47,32.0,81.0
740927,369,30,3,19,1,31,92,37.0,62.0
740941,369,30,3,19,1,59,35,56.0,64.0
740943,369,30,3,19,1,56,44,57.0,75.0
740945,369,31,3,19,1,44,45,60.0,73.0
740947,369,31,3,19,1,50,45,48.0,73.0
740955,369,31,3,19,1,43,48,55.0,13.0
740957,369,31,3,19,1,39,40,53.0,67.0
740988,369,34,3,19,1,29,47,44.0,81.0
740990,369,34,3,19,1,29,52,43.0,15.0
741002,369,35,3,19,20,63,15,77.0,9.0
741019,369,35,3,19,1,41,30,60.0,35.0
741022,369,35,3,19,1,38,46,37.0,55.0
741029,369,36,3,19,1,38,48,60.0,70.0
741035,369,36,3,19,1,35,37,51.0,60.0
741037,369,36,3,19,1,42,47,58.0,35.0
741039,369,36,3,19,1,47,41,53.0,59.0
741106,369,40,3,19,1,28,48,35.0,78.0
