id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
346263,181,0,3,19,1,50,81,63.0,98.0
346283,181,1,3,19,1,38,85,33.0,73.0
346446,181,10,3,19,1,41,74,37.0,63.0
346451,181,10,3,19,1,48,56,35.0,36.0
346502,181,13,3,19,1,29,74,7.0,57.0
346507,181,13,2,0,1,38,77,59.0,82.0
346508,181,13,3,19,1,59,82,66.0,93.0
346519,181,14,0,1,27,34,84,32.0,100.0
346660,181,22,3,19,1,62,83,70.0,94.0
346664,181,22,3,19,1,79,74,78.0,62.0
346693,181,24,3,19,1,70,83,76.0,68.0
346700,181,25,0,1,27,94,50,93.0,49.0
346800,181,30,3,19,1,55,36,37.0,71.0
346832,181,31,3,13,1,88,91,75.0,34.0
346852,181,32,3,19,1,20,42,31.0,34.0
346863,181,32,3,19,1,40,71,37.0,57.0
346867,181,33,3,19,1,58,63,55.0,30.0
346870,181,33,0,8,27,61,53,71.0,28.0
346872,181,33,3,19,1,71,28,70.0,21.0
346875,181,33,0,8,22,81,23,80.0,24.0
346876,181,33,3,19,1,80,24,81.0,10.0
346890,181,34,3,19,1,23,82,24.0,74.0
346897,181,35,1,21,1,27,100,24.0,91.0
346902,181,35,0,9,27,46,57,49.0,43.0
346977,181,39,0,10,27,35,80,34.0,81.0
347027,181,41,3,19,20,58,80,42.0,89.0
347103,181,45,0,1,27,38,67,51.0,76.0
347230,181,51,3,19,1,68,63,69.0,89.0
347275,181,54,3,19,1,47,86,43.0,65.0
347321,181,57,3,19,1,68,69,86.0,89.0
347337,181,57,3,19,1,40,96,56.0,98.0
347339,181,58,0,8,22,57,90,45.0,86.0
347341,181,58,3,19,1,45,86,37.0,86.0
347385,181,60,3,19,1,39,68,35.0,82.0
347436,181,63,3,19,1,46,74,35.0,58.0
347440,181,63,3,19,1,39,64,37.0,36.0
347446,181,63,2,0,1,66,27,77.0,24.0
347447,181,63,3,19,1,77,24,86.0,11.0
347456,181,64,5,18,10,84,60,0.0,0.0
347475,181,65,3,19,1,42,52,49.0,41.0
347477,181,65,3,13,1,44,40,64.0,13.0
347497,181,66,3,19,1,29,75,19.0,61.0
347520,181,66,3,19,1,56,81,57.0,69.0
346256,186,0,3,19,1,50,50,30.0,55.0
346296,186,2,0,8,27,76,38,79.0,49.0
346299,186,2,0,8,27,79,49,80.0,48.0
346307,186,2,3,13,1,76,59,96.0,15.0
346383,186,5,0,8,27,81,46,80.0,46.0
346525,186,14,3,19,1,36,82,25.0,91.0
346548,186,15,3,19,1,61,48,73.0,58.0
346562,186,17,3,12,1,57,14,63.0,3.0
346568,186,17,3,13,1,59,10,37.0,95.0
346596,186,18,3,19,1,62,60,56.0,65.0
346650,186,21,3,19,1,50,63,44.0,66.0
346665,186,22,3,19,1,78,62,73.0,60.0
346696,186,24,0,10,27,74,85,76.0,71.0
346761,186,28,3,19,1,72,25,76.0,3.0
346782,186,29,0,8,22,47,51,43.0,47.0
346784,186,29,3,19,1,43,47,45.0,85.0
346817,186,31,0,8,22,85,31,85.0,48.0
346853,186,32,3,19,1,31,34,27.0,36.0
346942,186,37,0,8,22,35,53,35.0,54.0
346944,186,37,0,8,27,35,54,34.0,52.0
346983,186,39,0,8,27,79,44,80.0,61.0
347008,186,41,0,8,22,65,48,65.0,46.0
347059,186,43,3,19,1,37,26,43.0,7.0
347078,186,44,3,19,1,72,67,82.0,91.0
347118,186,46,3,19,1,56,72,42.0,72.0
347159,186,47,0,8,27,43,49,44.0,52.0
347167,186,48,3,19,1,58,19,46.0,52.0
347173,186,49,3,19,1,54,53,65.0,15.0
347181,186,49,3,19,1,80,58,83.0,84.0
347251,186,52,2,0,5,68,20,85.0,28.0
347253,186,52,0,8,27,85,28,98.0,31.0
347279,186,55,0,8,22,69,57,65.0,59.0
347282,186,55,0,10,27,65,59,67.0,61.0
347363,186,59,0,8,27,45,8,62.0,4.0
347394,186,60,2,2,20,3,54,19.0,48.0
347399,186,60,2,0,1,44,78,76.0,69.0
347400,186,61,3,19,1,76,69,85.0,39.0
347476,186,65,3,19,1,49,41,44.0,40.0
347509,186,66,0,8,27,46,49,45.0,49.0
347524,186,66,3,19,1,76,39,68.0,32.0
347541,186,68,3,19,1,46,70,44.0,78.0
347562,186,68,3,19,1,70,51,67.0,52.0
347612,186,71,0,8,27,30,16,34.0,20.0
347702,186,76,3,19,1,79,5,65.0,7.0
347806,186,82,3,19,1,60,31,64.0,50.0
347869,186,86,0,1,27,61,76,66.0,67.0
347924,186,89,3,19,1,80,61,80.0,43.0
347948,186,91,0,10,27,68,15,58.0,26.0
346261,429,0,1,21,1,63,0,46.0,51.0
346269,429,0,0,8,27,79,12,86.0,9.0
346279,429,1,3,19,1,39,3,36.0,48.0
346290,429,1,3,19,1,62,5,72.0,4.0
346295,429,1,3,19,1,68,27,76.0,38.0
346366,429,5,3,20,1,34,11,76.0,12.0
346380,429,5,3,13,1,74,5,73.0,47.0
346388,429,7,1,21,1,84,0,82.0,29.0
346410,429,8,1,21,1,20,0,6.0,7.0
346432,429,10,0,9,22,26,11,34.0,6.0
346437,429,10,1,21,1,28,0,17.0,72.0
346500,429,13,3,19,1,34,16,28.0,73.0
346559,429,17,1,21,1,33,0,47.0,15.0
346567,429,17,1,21,1,60,0,59.0,10.0
346593,429,18,3,19,1,47,6,30.0,54.0
346605,429,19,3,19,1,20,9,22.0,35.0
346641,429,21,3,19,1,28,34,34.0,30.0
346646,429,21,3,19,1,34,8,25.0,28.0
346653,429,21,3,19,1,59,25,59.0,13.0
346707,429,25,1,21,1,40,0,40.0,42.0
346716,429,26,3,13,1,33,32,27.0,92.0
346742,429,27,0,8,27,73,24,74.0,17.0
346744,429,27,3,19,1,74,17,81.0,9.0
346753,429,27,0,10,27,46,42,33.0,44.0
346760,429,28,3,19,1,55,9,72.0,25.0
346809,429,30,3,19,1,65,30,72.0,31.0
346811,429,30,3,19,1,70,36,78.0,43.0
346815,429,31,1,21,1,85,0,85.0,31.0
346824,429,31,3,19,1,71,3,53.0,24.0
346858,429,32,3,19,1,24,8,8.0,55.0
346914,429,36,1,5,1,45,7,61.0,7.0
346923,429,37,3,14,1,35,5,45.0,12.0
346950,429,38,3,19,1,58,13,55.0,29.0
346968,429,39,3,19,1,27,15,22.0,26.0
346980,429,39,2,0,1,34,19,70.0,27.0
346981,429,39,3,19,1,70,27,79.0,44.0
347034,429,41,3,13,1,44,24,90.0,14.0
347058,429,43,3,13,1,23,2,37.0,26.0
347060,429,43,2,0,1,43,7,69.0,14.0
347062,429,43,0,8,27,69,14,68.0,13.0
347121,429,46,3,19,1,46,15,69.0,7.0
347142,429,47,0,9,27,39,9,57.0,7.0
347157,429,47,3,13,1,9,26,43.0,49.0
347166,429,48,1,21,1,59,0,58.0,19.0
347175,429,49,0,8,27,77,14,79.0,34.0
347177,429,49,3,19,1,79,34,72.0,42.0
347191,429,49,3,19,1,32,20,35.0,45.0
347208,429,50,3,19,20,18,9,30.0,37.0
347214,429,50,3,19,1,24,2,35.0,7.0
347236,429,52,3,19,1,72,6,76.0,22.0
347271,429,54,3,19,1,36,12,32.0,29.0
347329,429,57,0,10,22,49,17,35.0,0.0
347331,429,57,1,21,1,35,0,23.0,26.0
