id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
2326314,139,0,3,19,1,15,61,31.0,57.0
2326350,139,2,3,20,26,61,86,94.0,70.0
2326428,139,6,0,8,27,63,37,61.0,38.0
2326431,139,6,1,5,1,65,38,53.0,44.0
2326433,139,6,3,19,1,57,43,53.0,45.0
2326445,139,7,0,9,22,91,72,99.0,74.0
2326531,139,12,0,9,22,31,94,32.0,82.0
2326534,139,12,0,8,22,31,93,29.0,93.0
2326536,139,12,3,19,1,29,93,19.0,92.0
2326557,139,14,3,19,1,12,25,3.0,43.0
2326588,139,15,3,19,1,32,69,29.0,49.0
2326660,139,19,3,19,1,42,92,27.0,92.0
2326742,139,23,0,8,22,51,73,37.0,78.0
2326744,139,23,3,19,1,37,78,33.0,87.0
2326758,139,23,0,8,27,95,72,97.0,72.0
2326760,139,23,3,4,19,97,72,83.0,49.0
2326863,139,28,0,8,22,92,91,100.0,100.0
2326866,139,29,1,3,1,100,100,89.0,50.0
2326883,139,30,3,13,1,58,76,77.0,86.0
2326913,139,32,0,10,27,46,56,35.0,57.0
2326921,139,32,0,8,27,47,56,47.0,56.0
2327013,139,39,3,19,5,74,92,62.0,96.0
2327016,139,39,3,19,5,68,80,37.0,65.0
2327032,139,40,3,19,1,29,94,22.0,86.0
2327098,139,44,0,9,22,15,69,20.0,67.0
2327283,139,54,0,8,22,73,97,75.0,100.0
2327292,139,56,1,7,14,81,79,0.0,0.0
2327315,139,58,3,19,1,68,56,66.0,48.0
2327318,139,58,3,19,1,67,90,47.0,89.0
2327329,139,58,3,19,1,70,85,78.0,99.0
2327331,139,58,3,19,1,70,83,73.0,86.0
2327350,139,59,3,19,1,56,56,52.0,51.0
2327358,139,60,3,19,1,37,84,41.0,77.0
2327378,139,61,0,8,27,35,70,36.0,67.0
2327427,139,63,3,13,26,43,95,76.0,50.0
2327443,139,65,0,10,27,16,68,17.0,65.0
2327445,139,65,2,2,1,17,65,23.0,76.0
2327481,139,66,0,10,27,36,97,42.0,88.0
2327526,139,69,0,8,27,58,72,56.0,49.0
2327528,139,69,3,19,1,56,49,52.0,23.0
2327532,139,69,3,19,1,68,11,0.0,0.0
2326370,150,4,3,14,1,19,68,70.0,80.0
2326528,150,12,3,14,1,25,59,71.0,43.0
2326581,150,15,3,13,1,24,48,70.0,20.0
2326612,150,17,3,14,1,15,57,57.0,78.0
2326764,150,23,4,17,9,100,100,19.0,42.0
2326765,150,23,3,13,1,16,54,64.0,81.0
2326798,150,25,3,14,1,25,53,71.0,76.0
2326830,150,27,3,14,1,13,61,65.0,81.0
2326887,150,30,1,5,1,26,20,74.0,32.0
2327042,150,40,3,14,1,13,35,68.0,67.0
2327152,150,46,3,13,1,15,50,67.0,78.0
2327293,150,56,4,17,14,100,100,19.0,21.0
2327324,150,58,3,14,1,9,34,57.0,22.0
2327372,150,61,3,14,1,2,43,54.0,59.0
2327418,150,63,3,19,1,17,68,28.0,75.0
2327616,150,76,3,14,1,20,52,72.0,19.0
2327655,150,77,3,19,1,18,60,32.0,49.0
2327677,150,78,4,16,9,100,100,7.0,28.0
2327736,150,82,3,11,1,13,38,26.0,81.0
2327841,150,88,3,19,1,12,61,30.0,53.0
2326327,155,0,3,19,1,43,36,31.0,66.0
2326330,155,1,3,19,1,31,25,50.0,10.0
2326372,155,4,0,1,27,30,20,34.0,16.0
2326392,155,4,3,19,1,31,19,38.0,4.0
2326394,155,4,3,19,1,21,8,6.0,45.0
2326402,155,5,3,19,1,28,26,37.0,5.0
2326404,155,5,3,19,1,27,19,34.0,2.0
2326406,155,5,3,13,26,25,3,90.0,27.0
2326422,155,6,0,9,27,38,18,54.0,19.0
2326424,155,6,3,19,1,37,16,65.0,38.0
2326439,155,6,3,13,1,41,13,66.0,65.0
2326456,155,7,3,19,1,54,44,58.0,72.0
2326474,155,8,3,19,1,4,10,24.0,16.0
2326495,155,10,3,19,1,31,28,35.0,10.0
2326500,155,10,3,19,1,28,16,38.0,26.0
2326505,155,11,3,19,1,20,22,8.0,67.0
2326545,155,12,0,10,27,25,10,27.0,8.0
2326595,155,16,3,19,1,27,19,13.0,65.0
2326626,155,17,1,5,1,38,8,75.0,18.0
2326650,155,19,3,19,1,35,15,43.0,59.0
2326654,155,19,3,19,1,30,18,31.0,4.0
2326692,155,21,3,12,1,38,15,68.0,7.0
2326706,155,21,0,10,27,24,34,21.0,59.0
2326723,155,22,3,12,1,7,42,14.0,63.0
2326750,155,23,3,19,1,36,18,47.0,7.0
2326766,155,23,0,1,27,36,19,42.0,2.0
2326813,155,26,3,19,20,59,23,64.0,32.0
2326840,155,27,3,19,1,24,22,2.0,84.0
2326852,155,28,3,19,1,21,27,31.0,32.0
2326859,155,28,3,19,1,28,10,27.0,27.0
2326870,155,29,0,10,22,87,51,87.0,51.0
2326943,155,35,0,1,27,3,42,7.0,39.0
2326958,155,36,3,13,1,18,21,71.0,37.0
2326971,155,36,3,19,1,19,14,35.0,18.0
2326991,155,38,3,19,1,27,33,34.0,19.0
2327018,155,39,3,19,5,39,20,57.0,6.0
2327038,155,40,3,19,1,28,17,41.0,31.0
2327044,155,40,0,1,27,32,33,45.0,46.0
2327074,155,42,3,12,1,26,58,60.0,85.0
2327086,155,43,1,5,1,35,15,75.0,81.0
2327237,155,52,0,1,27,27,33,31.0,31.0
2327263,155,53,3,12,20,11,38,10.0,10.0
2327274,155,54,1,5,1,28,13,75.0,62.0
2327295,155,56,0,1,22,14,18,13.0,68.0
2327344,155,59,0,1,27,50,16,59.0,26.0
2327374,155,61,0,1,27,46,41,40.0,17.0
2327404,155,62,0,9,22,27,28,28.0,25.0
2327460,155,65,0,10,27,14,40,14.0,39.0
2327462,155,65,2,2,5,14,39,26.0,37.0
2327520,155,69,3,19,1,33,96,34.0,83.0
2327524,155,69,3,19,1,31,60,34.0,84.0
2327539,155,71,3,19,1,19,14,31.0,32.0
2327559,155,71,3,19,1,21,37,27.0,54.0
2327664,155,77,3,19,1,29,55,29.0,44.0
2327666,155,77,0,8,27,35,51,34.0,52.0
2327688,155,79,2,2,1,19,30,44.0,45.0
2327824,155,87,1,5,1,34,9,82.0,21.0
2326490,225,10,1,5,1,10,66,42.0,79.0
2326506,225,11,3,13,1,8,67,33.0,96.0
2326641,225,18,4,17,13,0,0,36.0,68.0
2326724,225,22,3,14,1,14,63,62.0,79.0
2326841,225,27,3,19,1,2,84,20.0,97.0
2326858,225,28,3,19,1,2,27,28.0,10.0
2326893,225,31,1,5,1,3,71,68.0,71.0
2326941,225,35,4,16,12,0,0,11.0,49.0
2326966,225,36,3,11,20,14,60,31.0,49.0
2326968,225,36,3,19,1,12,50,23.0,14.0
2326983,225,37,1,5,1,9,74,70.0,71.0
2327109,225,44,3,14,1,11,87,69.0,86.0
2327207,225,50,4,16,14,0,0,11.0,51.0
2327546,225,71,3,14,1,11,62,26.0,29.0
2327610,225,74,1,5,1,24,78,65.0,85.0
2327652,225,76,3,11,1,12,35,40.0,26.0
2327733,225,82,1,5,1,28,84,78.0,42.0
2326326,264,0,3,19,1,50,38,43.0,36.0
