Variable i,Variable j,Time lag of i,Link type i --- j,Link value
jerseyNumber,jerseyNumber,2,-->,-0.13799
jerseyNumber,jerseyNumber,3,-->,-0.03167
jerseyNumber,jerseyNumber,5,-->,-0.11057
jerseyNumber,team,0,o-o,0.11753
jerseyNumber,team,2,-->,0.039516
jerseyNumber,team,3,-->,0.053125
jerseyNumber,team,4,-->,0.042821
jerseyNumber,team,5,-->,-0.043401
jerseyNumber,closeTeams,0,o-o,0.32131
jerseyNumber,closeTeams,1,-->,-0.12375
jerseyNumber,closeTeams,2,-->,-0.16722
jerseyNumber,closeTeams,3,-->,-0.046496
jerseyNumber,closeTeams,5,-->,-0.028464
jerseyNumber,distantTeams,0,o-o,-0.32271
jerseyNumber,distantTeams,1,-->,0.12264
jerseyNumber,distantTeams,2,-->,0.16282
jerseyNumber,distantTeams,3,-->,0.046395
jerseyNumber,distantTeams,5,-->,0.044865
jerseyNumber,closeOps,0,o-o,0.45543
jerseyNumber,closeOps,1,-->,-0.066649
jerseyNumber,closeOps,2,-->,-0.1383
jerseyNumber,closeOps,3,-->,-0.076171
jerseyNumber,closeOps,4,-->,-0.036078
jerseyNumber,closeOps,5,-->,-0.05083
jerseyNumber,distantOps,0,o-o,-0.45526
jerseyNumber,distantOps,1,-->,0.066546
jerseyNumber,distantOps,2,-->,0.13912
jerseyNumber,distantOps,3,-->,0.078801
jerseyNumber,distantOps,4,-->,0.037212
jerseyNumber,distantOps,5,-->,0.049384
jerseyNumber,coordinate_x,0,o-o,-0.02789
jerseyNumber,coordinate_x,4,-->,0.020126
jerseyNumber,coordinate_y,2,-->,-0.021944
jerseyNumber,coordinate_y,4,-->,-0.023516
jerseyNumber,speed,0,o-o,-0.19619
jerseyNumber,speed,1,-->,0.078931
jerseyNumber,speed,2,-->,0.070469
jerseyNumber,speed,4,-->,-0.042976
team,jerseyNumber,1,-->,0.080416
team,jerseyNumber,2,-->,-0.14368
team,jerseyNumber,3,-->,0.040918
team,jerseyNumber,4,-->,0.040354
team,team,1,-->,0.64534
team,closeTeams,0,o-o,0.043777
team,closeTeams,1,-->,-0.05463
team,closeTeams,4,-->,0.078709
team,distantTeams,0,o-o,-0.044125
team,distantTeams,1,-->,0.05797
team,distantTeams,4,-->,-0.082688
team,closeOps,2,-->,-0.060925
team,closeOps,4,-->,0.098001
team,closeOps,5,-->,-0.036033
team,distantOps,2,-->,0.059364
team,distantOps,4,-->,-0.098267
team,distantOps,5,-->,0.037101
team,coordinate_x,0,o-o,-0.018992
team,coordinate_x,1,-->,0.035347
team,coordinate_x,2,-->,-0.019681
team,coordinate_x,4,-->,-0.0204
team,coordinate_x,5,-->,-0.03729
team,coordinate_y,4,-->,-0.029105
team,coordinate_y,5,-->,0.020924
team,speed,0,o-o,-0.067498
team,speed,1,-->,0.026126
team,speed,3,-->,0.025778
team,speed,4,-->,-0.028413
team,speed,5,-->,-0.024017
team,direction,0,o-o,0.03006
team,direction,4,-->,-0.020741
team,direction,5,-->,0.025227
behaviour,behaviour,1,-->,0.69428
behaviour,closeTeams,0,o-o,-0.045029
behaviour,closeTeams,1,-->,-0.03911
behaviour,distantTeams,0,o-o,0.043812
behaviour,distantTeams,1,-->,0.038563
behaviour,closeOps,0,o-o,-0.040037
behaviour,closeOps,1,-->,-0.022005
behaviour,distantOps,0,o-o,0.03942
behaviour,distantOps,1,-->,0.021929
behaviour,speed,0,o-o,0.064169
behaviour,speed,1,-->,0.046268
closeTeams,team,1,-->,0.044264
closeTeams,team,2,-->,0.025595
closeTeams,team,4,-->,0.036893
closeTeams,team,5,-->,0.028996
closeTeams,closeTeams,1,-->,0.21525
closeTeams,closeTeams,2,-->,0.090361
closeTeams,closeTeams,3,-->,0.040455
closeTeams,closeTeams,4,-->,0.048738
closeTeams,distantTeams,0,o-o,-0.99969
closeTeams,distantTeams,3,-->,-0.035791
closeTeams,closeOps,0,o-o,0.75866
closeTeams,distantOps,0,o-o,-0.75875
closeTeams,distantOps,5,-->,0.020517
closeTeams,coordinate_x,0,o-o,-0.061633
closeTeams,speed,0,o-o,-0.23325
closeTeams,speed,1,-->,-0.021056
closeTeams,direction,0,o-o,0.031545
distantTeams,team,1,-->,-0.047239
distantTeams,team,2,-->,-0.028157
distantTeams,team,4,-->,-0.036809
distantTeams,closeTeams,5,-->,-0.0759
distantTeams,distantTeams,1,-->,0.21304
distantTeams,distantTeams,4,-->,0.050214
distantTeams,distantTeams,5,-->,0.041827
distantTeams,closeOps,0,o-o,-0.75716
distantTeams,closeOps,5,-->,-0.021772
distantTeams,distantOps,0,o-o,0.75742
distantTeams,coordinate_x,0,o-o,0.063268
distantTeams,speed,0,o-o,0.23469
distantTeams,speed,1,-->,0.021164
distantTeams,direction,0,o-o,-0.032612
closeOps,jerseyNumber,5,-->,-0.03636
closeOps,team,4,-->,0.051147
closeOps,closeTeams,1,-->,-0.064298
closeOps,closeTeams,2,-->,0.024749
closeOps,closeTeams,4,-->,0.02661
closeOps,distantTeams,1,-->,0.064095
closeOps,distantTeams,2,-->,-0.023162
closeOps,closeOps,1,-->,0.095759
closeOps,closeOps,2,-->,0.070301
closeOps,closeOps,3,-->,0.093755
closeOps,closeOps,4,-->,0.063861
closeOps,distantOps,0,o-o,-0.99987
