Variable i,Variable j,Time lag of i,Link type i --- j,Link value
jerseyNumber,jerseyNumber,1,-->,-0.042293
jerseyNumber,jerseyNumber,2,-->,-0.17288
jerseyNumber,jerseyNumber,3,-->,-0.032073
jerseyNumber,jerseyNumber,4,-->,-0.023562
jerseyNumber,jerseyNumber,5,-->,-0.12161
jerseyNumber,team,0,o-o,0.12287
jerseyNumber,team,2,-->,0.015093
jerseyNumber,team,3,-->,0.054842
jerseyNumber,team,4,-->,0.024314
jerseyNumber,team,5,-->,-0.039921
jerseyNumber,coordinate_x,0,o-o,-0.027274
jerseyNumber,coordinate_x,4,-->,0.021814
jerseyNumber,coordinate_y,2,-->,-0.020607
jerseyNumber,coordinate_y,4,-->,-0.019049
jerseyNumber,speed,0,o-o,-0.18821
jerseyNumber,speed,1,-->,0.059999
jerseyNumber,speed,2,-->,0.049919
jerseyNumber,speed,4,-->,-0.045441
jerseyNumber,closeTeams_1,0,o-o,0.21352
jerseyNumber,closeTeams_1,1,-->,0.024972
jerseyNumber,closeTeams_1,2,-->,-0.027313
jerseyNumber,closeTeams_1,3,-->,-0.016199
jerseyNumber,closeTeams_1,4,-->,-0.020019
jerseyNumber,closeTeams_1,5,-->,-0.053018
jerseyNumber,closeTeams_2,0,o-o,0.25458
jerseyNumber,closeTeams_2,1,-->,-0.042441
jerseyNumber,closeTeams_2,2,-->,-0.092054
jerseyNumber,closeTeams_2,3,-->,-0.032
jerseyNumber,closeTeams_2,4,-->,-0.013981
jerseyNumber,closeTeams_2,5,-->,-0.026183
jerseyNumber,closeTeams_3,0,o-o,0.24535
jerseyNumber,closeTeams_3,1,-->,-0.051906
jerseyNumber,closeTeams_3,2,-->,-0.10134
jerseyNumber,closeTeams_3,3,-->,-0.024015
jerseyNumber,closeTeams_3,4,-->,0.013773
jerseyNumber,closeTeams_3,5,-->,-0.034406
jerseyNumber,closeTeams_4,0,o-o,0.21811
jerseyNumber,closeTeams_4,1,-->,-0.064913
jerseyNumber,closeTeams_4,2,-->,-0.10276
jerseyNumber,closeTeams_4,4,-->,0.01427
jerseyNumber,closeTeams_4,5,-->,-0.031386
jerseyNumber,closeTeams_5,0,o-o,0.18317
jerseyNumber,closeTeams_5,1,-->,-0.063021
jerseyNumber,closeTeams_5,2,-->,-0.07028
jerseyNumber,closeTeams_5,3,-->,0.015211
jerseyNumber,closeTeams_5,4,-->,0.013131
jerseyNumber,closeTeams_5,5,-->,-0.025575
jerseyNumber,closeTeams_6,0,o-o,0.13082
jerseyNumber,closeTeams_6,1,-->,-0.058533
jerseyNumber,closeTeams_6,2,-->,-0.051218
jerseyNumber,closeTeams_6,3,-->,0.019322
