id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
1099087,15,3,2,0,20,47,3,94.0,23.0
1099088,15,3,3,19,5,94,23,83.0,48.0
1099196,15,8,2,2,20,14,45,32.0,65.0
1099234,15,11,0,8,22,81,48,80.0,50.0
1099236,15,11,3,19,1,80,50,72.0,45.0
1099272,15,13,0,8,22,27,21,26.0,21.0
1099442,15,23,0,9,22,47,28,50.0,27.0
1099536,15,28,3,19,1,68,21,63.0,34.0
1099549,15,28,3,19,1,61,5,65.0,5.0
1099693,15,37,1,6,19,65,86,83.0,42.0
1099718,15,39,0,9,27,11,4,11.0,19.0
1099766,15,41,3,13,1,35,8,69.0,50.0
1099779,15,42,1,3,19,100,97,90.0,41.0
1099829,15,44,0,8,27,60,10,62.0,12.0
1099832,15,44,1,6,19,60,7,88.0,60.0
1099877,15,47,3,13,1,5,98,39.0,69.0
1099885,15,47,0,9,27,8,73,9.0,61.0
1099921,15,49,3,19,1,70,68,74.0,57.0
1099962,15,52,1,6,19,70,31,87.0,52.0
1099999,15,55,5,18,15,87,75,100.0,100.0
1100002,15,56,1,3,19,100,2,90.0,69.0
1100151,15,65,3,19,1,50,73,36.0,56.0
1100177,15,67,1,6,19,78,3,92.0,53.0
1100238,15,70,3,19,1,78,98,70.0,99.0
1100260,15,71,0,8,27,75,44,74.0,43.0
1100303,15,76,3,19,20,32,94,36.0,84.0
1099151,654,5,3,19,1,9,51,29.0,80.0
1099164,654,6,3,19,1,13,53,24.0,26.0
1099174,654,7,3,19,1,9,37,26.0,92.0
1099307,654,15,3,11,1,14,47,30.0,20.0
1099341,654,17,0,1,27,5,44,30.0,12.0
1099381,654,20,3,19,1,9,59,27.0,97.0
1099544,654,28,3,11,1,16,52,30.0,41.0
1099559,654,29,3,19,1,9,59,24.0,70.0
1099667,654,35,3,11,1,13,48,34.0,98.0
1099677,654,35,3,19,1,8,51,23.0,95.0
1099679,654,35,3,14,1,8,81,59.0,95.0
1099845,654,45,4,17,1,0,0,19.0,50.0
1099868,654,46,3,14,1,29,55,81.0,5.0
1099906,654,48,3,19,1,18,64,23.0,59.0
1099990,654,55,3,19,1,7,44,16.0,93.0
1100000,654,55,4,16,15,0,0,53.0,69.0
1100099,654,62,3,13,1,14,63,49.0,77.0
1100140,654,65,3,11,1,8,54,18.0,21.0
1100241,654,70,0,1,27,5,52,15.0,64.0
1100269,654,72,0,1,22,3,50,3.0,51.0
1100274,654,75,3,14,1,24,42,70.0,89.0
1100299,654,76,3,19,1,10,58,26.0,6.0
1100356,654,79,3,19,1,10,54,23.0,49.0
1100375,654,80,3,19,1,15,56,23.0,64.0
1100379,654,80,3,14,1,16,48,67.0,93.0
1099064,705,1,3,19,1,32,13,24.0,54.0
1099082,705,2,3,19,1,25,15,22.0,64.0
1099107,705,3,0,8,27,83,11,93.0,13.0
1099111,705,3,1,21,1,93,0,87.0,10.0
1099116,705,4,1,21,1,96,0,99.0,4.0
1099131,705,4,3,19,1,49,9,76.0,9.0
1099137,705,5,1,21,1,72,0,70.0,2.0
1099138,705,5,3,19,1,70,2,69.0,10.0
1099170,705,7,1,21,1,58,0,62.0,6.0
1099172,705,7,3,19,1,51,3,26.0,4.0
1099183,705,7,3,19,1,88,12,99.0,12.0
1099186,705,7,0,1,27,74,23,82.0,17.0
1099193,705,8,0,10,27,87,13,96.0,16.0
1099284,705,13,2,0,1,41,11,59.0,9.0
1099285,705,13,0,8,27,59,9,56.0,9.0
1099292,705,14,3,19,1,88,6,78.0,13.0
1099308,705,15,3,19,1,30,20,31.0,34.0
1099329,705,17,2,0,1,3,5,25.0,5.0
1099413,705,22,3,19,1,18,27,6.0,43.0
1099448,705,24,3,19,1,63,7,62.0,9.0
1099451,705,24,3,4,19,94,11,91.0,67.0
1099499,705,26,3,19,1,13,24,3.0,34.0
1099518,705,26,0,8,27,89,17,94.0,19.0
1099522,705,27,1,21,1,91,0,88.0,11.0
1099524,705,27,3,19,1,94,3,91.0,14.0
1099566,705,29,0,1,27,73,31,78.0,44.0
1099611,705,32,3,19,1,21,9,26.0,15.0
1099626,705,32,1,21,1,90,0,96.0,3.0
1099638,705,33,1,21,1,93,0,90.0,10.0
1099640,705,33,0,8,27,90,3,83.0,6.0
1099684,705,36,3,19,1,64,3,62.0,25.0
1099794,705,43,0,9,27,34,11,19.0,13.0
1099811,705,43,0,8,27,93,16,89.0,13.0
1099813,705,43,3,4,2,89,13,89.0,44.0
1099846,705,45,3,19,1,27,7,30.0,23.0
1099870,705,46,3,19,1,76,2,73.0,9.0
1099872,705,46,3,19,1,74,0,88.0,2.0
1099914,705,49,3,19,1,73,2,76.0,21.0
1099942,705,50,2,0,1,44,10,79.0,2.0
1099986,705,54,0,10,27,30,49,24.0,32.0
1100010,705,56,3,19,1,38,8,42.0,16.0
1100013,705,56,3,19,1,38,2,28.0,2.0
1099200,879,8,1,5,1,37,62,88.0,57.0
1099318,879,16,1,5,1,22,87,67.0,47.0
1099483,879,25,3,11,1,14,44,33.0,52.0
1099529,879,27,1,5,1,13,83,69.0,44.0
1099576,879,30,3,14,1,21,69,68.0,51.0
1099644,879,33,0,1,22,5,40,100.0,100.0
1099759,879,41,3,14,1,13,47,41.0,29.0
1099945,879,51,3,14,1,27,63,70.0,31.0
1100007,879,56,3,19,1,12,58,35.0,93.0
1100035,879,58,4,17,10,100,100,29.0,53.0
1100059,879,60,1,5,1,11,14,71.0,60.0
1100087,879,62,1,5,1,3,28,65.0,52.0
1100197,879,68,3,14,1,10,44,72.0,47.0
1100355,879,78,4,16,11,100,100,6.0,54.0
1100420,879,84,3,14,1,7,48,63.0,53.0
1100482,879,87,4,16,10,100,100,2.0,37.0
1100495,879,88,3,14,1,25,65,74.0,37.0
1100506,879,88,3,13,1,29,54,72.0,44.0
1100542,879,91,1,5,1,18,15,80.0,35.0
1100574,2388,93,3,19,1,70,78,62.0,85.0
1099190,2408,8,3,19,20,14,71,15.0,91.0
1099206,2408,9,3,19,1,76,88,77.0,96.0
1099213,2408,9,3,19,20,62,65,73.0,86.0
1099230,2408,10,3,19,1,41,29,32.0,62.0
1099237,2408,11,3,19,1,72,45,67.0,9.0
1099304,2408,15,3,19,1,55,48,74.0,15.0
1099335,2408,17,3,19,1,77,74,76.0,73.0
1099425,2408,22,3,19,1,58,18,54.0,1.0
1099427,2408,23,3,19,1,56,11,31.0,14.0
1099432,2408,23,3,19,1,55,30,54.0,43.0
1099434,2408,23,3,19,1,57,30,44.0,66.0
1099484,2408,25,3,19,1,33,52,29.0,22.0
1099487,2408,25,3,19,1,36,55,38.0,11.0
1099493,2408,25,3,19,1,62,54,63.0,40.0
1099650,2408,34,3,19,1,56,89,54.0,95.0
1099655,2408,34,3,19,1,46,58,38.0,26.0
1099662,2408,35,3,19,1,38,27,25.0,16.0
1099664,2408,35,3,19,1,36,10,27.0,18.0
1099734,2408,40,0,1,22,32,82,27.0,80.0
1099953,2408,51,3,19,1,47,55,39.0,67.0
1099969,2408,53,3,19,1,35,32,5.0,31.0
1099994,2408,55,0,8,27,46,30,45.0,29.0
1100095,2408,62,3,19,1,46,56,51.0,28.0
1100155,2408,65,3,19,1,45,46,41.0,87.0
1100308,2408,76,3,19,1,36,59,28.0,22.0
1100327,2408,77,0,9,27,24,42,24.0,41.0
1100329,2408,77,3,19,1,24,41,27.0,31.0
1100437,2408,84,3,19,1,57,61,43.0,57.0
1100453,2408,86,0,9,22,31,81,34.0,75.0
1100463,2408,86,3,19,1,28,29,17.0,8.0
1100491,2408,88,3,13,1,25,19,63.0,31.0
1100504,2408,88,3,19,1,18,12,12.0,38.0
1100512,2408,89,3,19,1,27,14,30.0,48.0
1100516,2408,89,3,19,1,54,40,46.0,57.0
1100577,2408,93,3,19,1,28,28,24.0,15.0
1100597,2408,94,3,19,1,63,32,76.0,9.0
1099058,2411,1,3,19,1,62,15,72.0,22.0
1099124,2411,4,0,1,27,68,28,71.0,43.0
1099127,2411,4,3,19,20,67,31,64.0,46.0
1099161,2411,6,0,1,27,57,21,71.0,25.0
1099211,2411,9,0,1,27,68,63,65.0,61.0
1099243,2411,11,0,8,27,75,41,76.0,43.0
1099303,2411,15,3,19,20,55,51,55.0,48.0
1099319,2411,16,0,1,27,67,47,74.0,50.0
1099345,2411,17,0,1,27,80,60,81.0,52.0
1099407,2411,22,0,1,27,67,40,72.0,42.0
1099467,2411,24,0,10,27,36,6,35.0,5.0
1099469,2411,24,3,12,1,35,5,54.0,15.0
1099471,2411,24,3,19,1,43,45,36.0,72.0
1099489,2411,25,0,1,27,68,46,72.0,47.0
1099577,2411,30,0,1,27,68,51,75.0,57.0
1099588,2411,31,3,13,1,47,34,59.0,34.0
1099598,2411,31,0,1,22,93,37,91.0,27.0
1099749,2411,40,0,1,27,61,25,69.0,51.0
1099760,2411,41,3,12,1,41,29,54.0,24.0
1099780,2411,42,0,1,27,90,41,90.0,39.0
1099789,2411,42,0,1,27,66,25,77.0,26.0
1099959,2411,51,0,1,27,73,31,72.0,27.0
1099984,2411,54,0,10,27,70,51,69.0,46.0
1100004,2411,56,0,1,27,90,69,99.0,91.0
1100136,2411,65,0,1,27,71,45,83.0,45.0
1100189,2411,67,0,8,22,73,10,70.0,10.0
1100231,2411,70,0,8,22,80,17,78.0,30.0
1100233,2411,70,3,19,1,78,30,80.0,6.0
1100257,2411,71,0,8,27,74,50,75.0,52.0
1100258,2411,71,3,19,1,75,52,75.0,44.0
1100270,2411,72,0,1,22,97,50,97.0,49.0
1099034,2428,0,3,13,1,30,44,70.0,18.0
1099041,2428,0,3,12,1,31,14,37.0,7.0
1099057,2428,1,3,12,1,39,36,62.0,15.0
1099120,2428,4,0,9,22,2,93,100.0,100.0
