id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
1732105,154,0,0,9,27,57,84,59.0,84.0
1732109,154,0,3,12,1,57,80,73.0,63.0
1732130,154,1,3,19,1,21,70,32.0,46.0
1732183,154,2,3,19,1,18,74,27.0,53.0
1732268,154,7,3,19,1,36,76,44.0,68.0
1732350,154,11,3,19,1,28,60,43.0,62.0
1732352,154,11,3,19,1,21,69,43.0,77.0
1732356,154,11,1,5,1,41,76,46.0,64.0
1732358,154,11,3,19,1,38,80,69.0,63.0
1732369,154,12,3,13,1,50,84,72.0,83.0
1732382,154,13,3,12,1,40,77,44.0,44.0
1732506,154,21,3,19,1,23,49,36.0,21.0
1732516,154,21,3,12,1,47,55,39.0,16.0
1732576,154,23,3,19,1,53,74,71.0,58.0
1732630,154,27,3,19,1,24,54,30.0,37.0
1732643,154,28,3,19,1,27,67,40.0,65.0
1732688,154,31,3,19,1,36,70,40.0,32.0
1732705,154,32,3,13,1,27,42,48.0,6.0
1732716,154,34,3,19,1,28,67,37.0,67.0
1732792,154,40,3,19,1,29,69,38.0,70.0
1732794,154,40,3,19,1,30,67,30.0,38.0
1732863,154,42,3,19,1,31,58,23.0,92.0
1732870,154,43,0,1,27,87,30,87.0,54.0
1732889,154,44,3,19,1,23,70,36.0,73.0
1732901,154,46,3,19,5,27,66,36.0,52.0
1733040,154,53,0,8,27,8,97,9.0,93.0
1733085,154,57,3,19,1,25,76,36.0,63.0
1733304,154,69,3,19,1,27,75,45.0,90.0
1733347,154,71,0,8,27,24,67,33.0,65.0
1733349,154,71,3,19,1,33,65,35.0,70.0
1733485,154,85,3,14,1,26,72,31.0,27.0
1733563,154,89,3,19,1,11,74,12.0,75.0
1732135,179,1,0,8,22,72,29,68.0,24.0
1732136,179,1,3,19,1,68,24,50.0,22.0
1732217,179,4,3,19,1,70,25,66.0,44.0
1732246,179,6,3,12,1,59,79,67.0,87.0
1732271,179,7,0,9,27,42,26,39.0,17.0
1732309,179,8,3,19,1,31,25,10.0,50.0
1732321,179,9,3,19,1,46,45,63.0,80.0
1732447,179,16,3,19,1,40,28,44.0,72.0
1732553,179,23,3,19,1,43,30,46.0,22.0
1732555,179,23,3,19,1,45,31,64.0,25.0
1732614,179,26,3,19,20,39,24,47.0,54.0
1732656,179,29,3,19,1,46,32,32.0,32.0
1732744,179,35,3,19,1,62,32,75.0,7.0
1732746,179,35,3,19,1,58,17,47.0,54.0
1732751,179,35,3,19,1,64,46,72.0,60.0
1732808,179,40,3,19,1,30,86,16.0,89.0
1732844,179,41,3,12,20,11,50,27.0,34.0
1732848,179,41,3,19,1,27,36,22.0,16.0
1732852,179,42,3,13,1,31,21,91.0,28.0
1732876,179,44,3,19,1,40,42,50.0,20.0
1732925,179,46,3,19,1,33,50,28.0,68.0
1732991,179,49,3,19,1,63,86,69.0,91.0
1733006,179,51,3,19,1,53,49,33.0,31.0
1733011,179,51,3,19,1,23,76,12.0,69.0
1733018,179,51,2,0,1,37,74,72.0,93.0
1733020,179,51,0,8,22,72,93,74.0,100.0
1733126,179,60,3,12,1,27,75,42.0,74.0
1732113,190,0,3,19,1,23,94,35.0,94.0
1732119,190,0,1,21,1,50,100,52.0,90.0
1732121,190,0,3,19,1,44,95,52.0,90.0
1732139,190,1,3,19,1,45,82,32.0,73.0
1732152,190,2,0,9,22,21,90,24.0,89.0
1732199,190,3,3,19,1,30,93,37.0,78.0
1732210,190,4,3,19,1,44,91,45.0,98.0
1732212,190,4,3,19,1,32,89,32.0,69.0
1732223,190,4,1,21,1,82,100,90.0,94.0
1732225,190,5,3,19,1,77,92,94.0,72.0
1732288,190,7,3,12,1,19,67,29.0,75.0
1732312,190,8,3,19,1,32,92,39.0,95.0
1732322,190,9,3,19,1,63,80,64.0,70.0
1732341,190,10,3,13,1,30,82,45.0,14.0
1732403,190,14,2,0,1,56,93,75.0,86.0
1732404,190,14,3,19,1,75,86,80.0,95.0
1732412,190,14,1,21,1,86,100,86.0,86.0
1732416,190,14,3,4,19,80,93,89.0,48.0
1732448,190,16,3,13,1,44,72,65.0,7.0
1732459,190,16,3,19,1,57,93,72.0,95.0
1732464,190,16,0,8,22,56,95,53.0,95.0
1732487,190,20,1,5,1,32,96,27.0,17.0
1732548,190,22,3,19,1,13,64,18.0,53.0
1732550,190,22,3,19,1,27,82,39.0,94.0
1732552,190,23,3,19,1,45,68,43.0,30.0
1732561,190,23,3,19,1,37,92,55.0,85.0
1732617,190,26,3,19,1,67,86,64.0,69.0
1732648,190,28,3,19,1,31,95,33.0,92.0
1732652,190,29,1,5,1,34,95,44.0,75.0
1732661,190,29,0,8,22,58,95,58.0,100.0
1732664,190,29,1,21,1,58,100,58.0,71.0
1732690,190,31,2,0,1,41,85,57.0,75.0
1732692,190,31,0,8,27,57,75,55.0,72.0
1732694,190,32,1,5,1,57,77,56.0,78.0
1732697,190,32,3,19,1,66,83,62.0,85.0
1732699,190,32,3,19,1,68,83,63.0,86.0
1732700,190,32,3,19,1,63,86,70.0,84.0
1732727,190,34,3,19,1,35,95,41.0,78.0
1732733,190,34,3,19,1,57,96,60.0,80.0
1732739,190,35,1,21,1,59,100,58.0,93.0
1732748,190,35,3,19,1,64,75,68.0,88.0
1732807,190,40,3,19,1,29,95,30.0,86.0
1732817,190,40,3,19,1,45,82,59.0,77.0
1732910,190,46,0,8,27,71,94,86.0,86.0
1732914,190,46,3,4,19,86,83,89.0,33.0
1732927,190,46,3,19,1,30,85,22.0,68.0
1732947,190,47,1,21,1,7,100,13.0,91.0
1732949,190,47,3,13,1,5,93,28.0,41.0
1732966,190,48,3,13,1,30,66,44.0,3.0
1732976,190,49,3,19,1,86,90,90.0,89.0
1732993,190,49,3,19,1,43,79,52.0,70.0
1733010,190,51,3,19,1,26,93,23.0,76.0
1733017,190,51,3,19,1,27,87,37.0,74.0
1733022,190,51,1,21,1,74,100,78.0,89.0
1733027,190,52,1,21,1,89,100,91.0,96.0
1733124,190,60,0,10,27,38,93,28.0,93.0
1733125,190,60,3,19,1,28,93,27.0,75.0
1733130,190,60,1,5,1,41,75,43.0,76.0
1733133,190,60,0,8,27,35,78,36.0,77.0
1733135,190,61,1,5,1,36,76,63.0,76.0
1733165,190,63,0,9,27,65,94,62.0,92.0
1733192,190,64,0,9,22,18,95,0.0,100.0
1733238,190,67,3,19,1,60,83,70.0,83.0
1733240,190,67,3,19,1,60,76,61.0,73.0
1733248,190,67,3,19,1,67,92,29.0,77.0
1733254,190,67,3,19,1,65,95,42.0,74.0
1733290,190,69,3,19,5,12,70,20.0,64.0
