Variable i,Variable j,Time lag of i,Link type i --- j,Link value
jerseyNumber,jerseyNumber,1,-->,0.25067
jerseyNumber,jerseyNumber,2,-->,-0.10847
jerseyNumber,jerseyNumber,3,-->,-0.24873
jerseyNumber,jerseyNumber,4,-->,-0.31379
jerseyNumber,jerseyNumber,5,-->,-0.14917
jerseyNumber,team,5,-->,-0.021256
jerseyNumber,coordinate_x,3,-->,0.024536
jerseyNumber,coordinate_y,1,-->,0.022743
jerseyNumber,coordinate_y,2,-->,-0.023337
jerseyNumber,speed,1,-->,-0.028794
jerseyNumber,speed,3,-->,0.040641
jerseyNumber,speed,4,-->,0.057576
jerseyNumber,speed,5,-->,0.062746
jerseyNumber,closeTeams_1,0,o-o,0.49253
jerseyNumber,closeTeams_1,1,-->,0.047764
jerseyNumber,closeTeams_1,2,-->,-0.041679
jerseyNumber,closeTeams_1,3,-->,-0.086796
jerseyNumber,closeTeams_1,4,-->,-0.10947
jerseyNumber,closeTeams_2,0,o-o,0.30586
jerseyNumber,closeTeams_2,2,-->,-0.060843
jerseyNumber,closeTeams_2,3,-->,-0.069217
jerseyNumber,closeTeams_2,4,-->,-0.088012
jerseyNumber,closeTeams_2,5,-->,-0.058537
jerseyNumber,closeTeams_3,0,o-o,0.20566
jerseyNumber,closeTeams_3,2,-->,-0.05157
jerseyNumber,closeTeams_3,3,-->,-0.071398
jerseyNumber,closeTeams_3,4,-->,-0.090381
jerseyNumber,closeTeams_3,5,-->,-0.095672
jerseyNumber,closeTeams_4,0,o-o,0.13953
jerseyNumber,closeTeams_4,1,-->,-0.025598
jerseyNumber,closeTeams_4,2,-->,-0.060152
jerseyNumber,closeTeams_4,3,-->,-0.07106
jerseyNumber,closeTeams_4,4,-->,-0.087901
jerseyNumber,closeTeams_4,5,-->,-0.12153
jerseyNumber,closeTeams_5,0,o-o,0.094406
jerseyNumber,closeTeams_5,1,-->,-0.020744
jerseyNumber,closeTeams_5,2,-->,-0.049328
jerseyNumber,closeTeams_5,3,-->,-0.052469
jerseyNumber,closeTeams_5,4,-->,-0.098377
jerseyNumber,closeTeams_5,5,-->,-0.10058
jerseyNumber,closeTeams_6,0,o-o,0.058593
jerseyNumber,closeTeams_6,2,-->,-0.031069
jerseyNumber,closeTeams_6,3,-->,-0.067651
jerseyNumber,closeTeams_6,4,-->,-0.084556
jerseyNumber,closeTeams_6,5,-->,-0.084675
jerseyNumber,closeTeams_7,0,o-o,0.045345
jerseyNumber,closeTeams_7,3,-->,-0.0475
jerseyNumber,closeTeams_7,4,-->,-0.079852
jerseyNumber,closeTeams_7,5,-->,-0.068513
jerseyNumber,closeTeams_8,0,o-o,0.037597
jerseyNumber,closeTeams_8,2,-->,-0.026336
jerseyNumber,closeTeams_8,3,-->,-0.033573
jerseyNumber,closeTeams_8,4,-->,-0.041025
jerseyNumber,closeTeams_9,0,o-o,0.019505
jerseyNumber,closeTeams_9,2,-->,-0.029425
jerseyNumber,distantTeams_1,0,o-o,-0.17575
jerseyNumber,distantTeams_1,1,-->,0.15515
jerseyNumber,distantTeams_1,3,-->,-0.030394
jerseyNumber,distantTeams_1,5,-->,0.038114
jerseyNumber,distantTeams_2,0,o-o,-0.088501
jerseyNumber,distantTeams_2,2,-->,0.086434
jerseyNumber,distantTeams_2,3,-->,-0.025756
jerseyNumber,distantTeams_2,5,-->,-0.020849
jerseyNumber,distantTeams_3,0,o-o,-0.093974
jerseyNumber,distantTeams_3,1,-->,0.026606
jerseyNumber,distantTeams_3,2,-->,0.04095
jerseyNumber,distantTeams_4,0,o-o,-0.15155
jerseyNumber,distantTeams_4,4,-->,0.067226
jerseyNumber,distantTeams_4,5,-->,-0.0208
jerseyNumber,distantTeams_5,0,o-o,-0.11095
jerseyNumber,distantTeams_5,1,-->,-0.021386
jerseyNumber,distantTeams_5,3,-->,0.036594
jerseyNumber,distantTeams_5,4,-->,0.083191
jerseyNumber,distantTeams_5,5,-->,0.04427
jerseyNumber,distantTeams_6,0,o-o,-0.095568
jerseyNumber,distantTeams_6,2,-->,0.037528
jerseyNumber,distantTeams_6,3,-->,0.076216
jerseyNumber,distantTeams_6,4,-->,0.081867
jerseyNumber,distantTeams_6,5,-->,0.056428
jerseyNumber,distantTeams_7,0,o-o,-0.13275
jerseyNumber,distantTeams_7,1,-->,0.022661
jerseyNumber,distantTeams_7,2,-->,0.063132
jerseyNumber,distantTeams_7,3,-->,0.063602
jerseyNumber,distantTeams_7,4,-->,0.084213
jerseyNumber,distantTeams_7,5,-->,0.093141
jerseyNumber,distantTeams_8,0,o-o,-0.12427
jerseyNumber,distantTeams_8,2,-->,0.059904
jerseyNumber,distantTeams_8,3,-->,0.05445
jerseyNumber,distantTeams_8,4,-->,0.09443
jerseyNumber,distantTeams_8,5,-->,0.098999
jerseyNumber,distantTeams_9,0,o-o,-0.16954
jerseyNumber,distantTeams_9,2,-->,0.068544
jerseyNumber,distantTeams_9,3,-->,0.054248
jerseyNumber,distantTeams_9,4,-->,0.083763
jerseyNumber,distantTeams_9,5,-->,0.11994
jerseyNumber,distantTeams_10,0,o-o,-0.1854
jerseyNumber,distantTeams_10,2,-->,0.071886
jerseyNumber,distantTeams_10,3,-->,0.060829
jerseyNumber,distantTeams_10,4,-->,0.067584
jerseyNumber,distantTeams_10,5,-->,0.073219
jerseyNumber,closeOps_1,0,o-o,0.29472
jerseyNumber,closeOps_1,2,-->,-0.043955
jerseyNumber,closeOps_1,3,-->,-0.065481
jerseyNumber,closeOps_1,4,-->,-0.10706
jerseyNumber,closeOps_2,0,o-o,0.25143
jerseyNumber,closeOps_2,1,-->,0.021879
jerseyNumber,closeOps_2,2,-->,-0.048963
jerseyNumber,closeOps_2,3,-->,-0.029827
jerseyNumber,closeOps_2,4,-->,-0.093089
jerseyNumber,closeOps_2,5,-->,-0.041072
jerseyNumber,closeOps_3,0,o-o,0.22844
jerseyNumber,closeOps_3,2,-->,-0.049564
jerseyNumber,closeOps_3,3,-->,-0.054663
jerseyNumber,closeOps_3,4,-->,-0.071749
jerseyNumber,closeOps_3,5,-->,-0.059699
jerseyNumber,closeOps_4,0,o-o,0.22274
jerseyNumber,closeOps_4,1,-->,0.023597
jerseyNumber,closeOps_4,2,-->,-0.049901
jerseyNumber,closeOps_4,3,-->,-0.07267
jerseyNumber,closeOps_4,4,-->,-0.10036
jerseyNumber,closeOps_4,5,-->,-0.076536
jerseyNumber,closeOps_5,0,o-o,0.22279
jerseyNumber,closeOps_5,2,-->,-0.046918
jerseyNumber,closeOps_5,3,-->,-0.065081
jerseyNumber,closeOps_5,4,-->,-0.099784
jerseyNumber,closeOps_5,5,-->,-0.085771
jerseyNumber,closeOps_6,0,o-o,0.21014
jerseyNumber,closeOps_6,2,-->,-0.052775
jerseyNumber,closeOps_6,3,-->,-0.075252
jerseyNumber,closeOps_6,4,-->,-0.096777
jerseyNumber,closeOps_6,5,-->,-0.10321
jerseyNumber,closeOps_7,0,o-o,0.19535
jerseyNumber,closeOps_7,2,-->,-0.053799
jerseyNumber,closeOps_7,3,-->,-0.057524
jerseyNumber,closeOps_7,4,-->,-0.10436
jerseyNumber,closeOps_7,5,-->,-0.11221
jerseyNumber,closeOps_8,0,o-o,0.18029
jerseyNumber,closeOps_8,2,-->,-0.064809
jerseyNumber,closeOps_8,3,-->,-0.038868
jerseyNumber,closeOps_8,4,-->,-0.1043
jerseyNumber,closeOps_8,5,-->,-0.1123
jerseyNumber,closeOps_9,0,o-o,0.15404
jerseyNumber,closeOps_9,2,-->,-0.079377
jerseyNumber,closeOps_9,3,-->,-0.041811
jerseyNumber,closeOps_9,4,-->,-0.08946
jerseyNumber,closeOps_9,5,-->,-0.13026
jerseyNumber,closeOps_10,0,o-o,0.15132
jerseyNumber,closeOps_10,2,-->,-0.073373
jerseyNumber,closeOps_10,3,-->,-0.044065
jerseyNumber,closeOps_10,4,-->,-0.08868
jerseyNumber,closeOps_10,5,-->,-0.085597
jerseyNumber,closeOps_11,0,o-o,0.13224
jerseyNumber,closeOps_11,2,-->,-0.06957
jerseyNumber,closeOps_11,3,-->,-0.060148
jerseyNumber,closeOps_11,4,-->,-0.078394
jerseyNumber,closeOps_11,5,-->,-0.068566
jerseyNumber,distantOps_1,0,o-o,-0.21973
jerseyNumber,distantOps_1,1,-->,0.13188
jerseyNumber,distantOps_1,2,-->,-0.047996
jerseyNumber,distantOps_1,3,-->,-0.023298
jerseyNumber,distantOps_1,4,-->,0.046622
jerseyNumber,distantOps_1,5,-->,0.028375
jerseyNumber,distantOps_2,0,o-o,-0.15039
jerseyNumber,distantOps_2,2,-->,0.082389
jerseyNumber,distantOps_3,0,o-o,-0.083241
jerseyNumber,distantOps_3,3,-->,0.039945
jerseyNumber,distantOps_4,0,o-o,-0.029335
jerseyNumber,distantOps_5,0,o-o,-0.020089
jerseyNumber,distantOps_6,0,o-o,-0.02959
jerseyNumber,distantOps_7,0,o-o,-0.04598
jerseyNumber,distantOps_7,4,-->,0.021031
jerseyNumber,distantOps_8,0,o-o,-0.064528
jerseyNumber,distantOps_8,3,-->,0.038677
jerseyNumber,distantOps_9,0,o-o,-0.092244
jerseyNumber,distantOps_9,3,-->,0.05061
jerseyNumber,distantOps_9,5,-->,0.023583
jerseyNumber,distantOps_10,0,o-o,-0.11273
jerseyNumber,distantOps_10,2,-->,0.034124
jerseyNumber,distantOps_10,3,-->,0.043499
jerseyNumber,distantOps_10,4,-->,0.031776
jerseyNumber,distantOps_10,5,-->,0.042511
jerseyNumber,distantOps_11,0,o-o,-0.13236
jerseyNumber,distantOps_11,2,-->,0.042936
jerseyNumber,distantOps_11,3,-->,0.046001
jerseyNumber,distantOps_11,4,-->,0.048591
jerseyNumber,distantOps_11,5,-->,0.043461
team,jerseyNumber,1,-->,-0.034594
team,jerseyNumber,3,-->,-0.022517
team,jerseyNumber,4,-->,-0.053699
team,jerseyNumber,5,-->,0.037519
team,team,1,-->,0.64003
team,coordinate_x,0,o-o,0.028779
team,coordinate_x,2,-->,-0.030167
team,coordinate_x,3,-->,0.025462
team,speed,0,o-o,0.075539
team,speed,1,-->,-0.088625
team,speed,2,-->,0.025782
team,speed,3,-->,0.050851
team,speed,4,-->,0.0207
team,closeTeams_1,0,o-o,0.022388
team,closeTeams_1,1,-->,-0.025709
team,closeTeams_1,3,-->,-0.026422
team,closeTeams_2,0,o-o,-0.063268
team,closeTeams_2,1,-->,0.027974
team,closeTeams_2,4,-->,-0.045215
team,closeTeams_2,5,-->,0.021494
team,closeTeams_3,0,o-o,-0.060823
team,closeTeams_3,1,-->,0.040957
team,closeTeams_3,4,-->,-0.038972
team,closeTeams_4,0,o-o,-0.061251
team,closeTeams_4,1,-->,0.041429
team,closeTeams_4,4,-->,-0.052645
team,closeTeams_4,5,-->,-0.022625
team,closeTeams_5,0,o-o,-0.068139
team,closeTeams_5,1,-->,0.035217
team,closeTeams_5,4,-->,-0.055627
team,closeTeams_6,0,o-o,-0.057709
team,closeTeams_6,1,-->,0.035142
team,closeTeams_6,4,-->,-0.043697
team,closeTeams_7,0,o-o,-0.0457
team,closeTeams_7,1,-->,0.031506
team,closeTeams_7,4,-->,-0.041084
team,closeTeams_8,0,o-o,-0.030998
team,closeTeams_8,4,-->,-0.021194
team,closeTeams_9,5,-->,0.035094
team,distantTeams_1,0,o-o,0.021592
team,distantTeams_1,1,-->,0.063422
team,distantTeams_1,4,-->,-0.041885
team,distantTeams_2,1,-->,-0.02209
team,distantTeams_3,0,o-o,-0.042179
team,distantTeams_3,5,-->,-0.021137
team,distantTeams_4,0,o-o,-0.047941
team,distantTeams_5,0,o-o,0.017952
team,distantTeams_5,1,-->,-0.026524
team,distantTeams_5,4,-->,0.023264
team,distantTeams_6,0,o-o,0.074501
team,distantTeams_6,4,-->,0.024263
team,distantTeams_6,5,-->,-0.027845
team,distantTeams_7,0,o-o,0.10518
team,distantTeams_7,1,-->,-0.0229
team,distantTeams_7,3,-->,-0.02115
team,distantTeams_7,4,-->,0.04078
team,distantTeams_8,0,o-o,0.09623
team,distantTeams_8,1,-->,-0.024861
team,distantTeams_8,4,-->,0.053873
team,distantTeams_9,0,o-o,0.074337
team,distantTeams_9,1,-->,-0.0421
team,distantTeams_9,4,-->,0.052172
team,distantTeams_10,0,o-o,0.069621
team,distantTeams_10,1,-->,-0.046908
team,distantTeams_10,4,-->,0.062165
team,closeOps_1,0,o-o,0.018212
team,closeOps_1,1,-->,-0.037963
team,closeOps_2,0,o-o,-0.045172
team,closeOps_2,1,-->,0.039341
team,closeOps_2,2,-->,-0.02286
team,closeOps_2,3,-->,-0.024223
team,closeOps_3,0,o-o,-0.067742
team,closeOps_3,1,-->,0.057483
team,closeOps_3,4,-->,-0.039999
team,closeOps_4,0,o-o,-0.072875
team,closeOps_4,1,-->,0.050092
team,closeOps_4,4,-->,-0.051267
team,closeOps_5,0,o-o,-0.071266
team,closeOps_5,1,-->,0.043843
team,closeOps_5,4,-->,-0.05509
team,closeOps_6,0,o-o,-0.064147
team,closeOps_6,1,-->,0.039497
team,closeOps_6,4,-->,-0.063318
team,closeOps_6,5,-->,0.024693
team,closeOps_7,0,o-o,-0.057209
team,closeOps_7,1,-->,0.036749
team,closeOps_7,4,-->,-0.059504
team,closeOps_8,0,o-o,-0.043852
team,closeOps_8,1,-->,0.030029
team,closeOps_8,4,-->,-0.054764
team,closeOps_9,0,o-o,-0.039446
team,closeOps_9,4,-->,-0.035487
team,closeOps_10,0,o-o,-0.037573
team,closeOps_10,4,-->,-0.024689
team,closeOps_11,0,o-o,-0.031762
team,distantOps_1,0,o-o,-0.1022
team,distantOps_1,1,-->,0.048897
team,distantOps_1,3,-->,-0.031786
team,distantOps_2,3,-->,-0.024412
team,distantOps_3,0,o-o,0.02023
team,distantOps_3,2,-->,-0.028381
team,distantOps_4,0,o-o,0.03419
team,distantOps_4,4,-->,-0.0218
team,distantOps_5,0,o-o,0.017532
team,distantOps_6,0,o-o,0.019787
team,distantOps_6,5,-->,-0.020984
team,distantOps_7,0,o-o,0.019722
team,distantOps_7,5,-->,-0.025622
team,distantOps_10,1,-->,0.021047
team,distantOps_11,1,-->,0.026864
behaviour,behaviour,1,-->,0.69401
behaviour,speed,0,o-o,0.068275
behaviour,speed,1,-->,0.05906
behaviour,closeTeams_1,0,o-o,0.017897
behaviour,closeTeams_2,0,o-o,-0.021584
behaviour,closeTeams_3,0,o-o,-0.046673
behaviour,closeTeams_3,4,-->,-0.025808
behaviour,closeTeams_4,0,o-o,-0.051304
behaviour,closeTeams_4,4,-->,-0.024857
behaviour,closeTeams_5,0,o-o,-0.048724
behaviour,closeTeams_6,0,o-o,-0.046636
behaviour,closeTeams_6,1,-->,0.022039
behaviour,closeTeams_6,4,-->,-0.040298
behaviour,closeTeams_7,0,o-o,-0.048115
behaviour,closeTeams_7,1,-->,0.034494
behaviour,closeTeams_7,4,-->,-0.04212
behaviour,closeTeams_8,0,o-o,-0.019744
behaviour,closeTeams_8,1,-->,0.028428
behaviour,closeTeams_8,4,-->,-0.02427
behaviour,distantTeams_3,0,o-o,-0.02871
behaviour,distantTeams_5,0,o-o,0.037929
behaviour,distantTeams_5,1,-->,-0.031904
behaviour,distantTeams_5,4,-->,0.041824
behaviour,distantTeams_6,0,o-o,0.039267
behaviour,distantTeams_6,1,-->,-0.028661
behaviour,distantTeams_6,4,-->,0.042838
behaviour,distantTeams_7,0,o-o,0.035016
behaviour,distantTeams_7,4,-->,0.027802
behaviour,distantTeams_8,0,o-o,0.038986
behaviour,distantTeams_8,4,-->,0.024195
behaviour,distantTeams_9,0,o-o,0.037501
behaviour,distantTeams_9,3,-->,-0.02262
behaviour,distantTeams_9,4,-->,0.030221
behaviour,distantTeams_10,0,o-o,0.033577
behaviour,closeOps_3,0,o-o,-0.029343
behaviour,closeOps_4,0,o-o,-0.038628
behaviour,closeOps_5,0,o-o,-0.04761
behaviour,closeOps_6,0,o-o,-0.046542
behaviour,closeOps_6,4,-->,-0.025121
behaviour,closeOps_7,0,o-o,-0.042848
behaviour,closeOps_7,3,-->,0.021138
behaviour,closeOps_7,4,-->,-0.02721
behaviour,closeOps_8,0,o-o,-0.031028
behaviour,closeOps_8,1,-->,0.022681
behaviour,closeOps_8,4,-->,-0.025766
behaviour,closeOps_9,0,o-o,-0.03058
behaviour,closeOps_9,1,-->,0.023771
behaviour,closeOps_9,4,-->,-0.02626
behaviour,closeOps_10,0,o-o,-0.03318
behaviour,closeOps_10,1,-->,0.024274
behaviour,closeOps_10,4,-->,-0.026838
behaviour,closeOps_11,0,o-o,-0.02245
behaviour,closeOps_11,1,-->,0.032103
behaviour,closeOps_11,3,-->,0.020643
behaviour,closeOps_11,4,-->,-0.026242
behaviour,distantOps_1,0,o-o,-0.017454
behaviour,distantOps_1,4,-->,-0.023076
behaviour,distantOps_4,2,-->,0.026343
behaviour,distantOps_5,1,-->,0.026332
behaviour,distantOps_5,3,-->,0.021549
behaviour,distantOps_6,1,-->,0.02224
behaviour,distantOps_9,0,o-o,-0.020427
behaviour,distantOps_10,0,o-o,-0.022011
behaviour,distantOps_10,1,-->,-0.025081
behaviour,distantOps_11,1,-->,-0.023293
coordinate_x,coordinate_x,1,-->,0.43321
coordinate_x,coordinate_x,2,-->,0.15867
coordinate_x,coordinate_x,3,-->,0.15931
coordinate_x,coordinate_x,4,-->,-0.038274
coordinate_x,coordinate_y,0,o-o,0.025996
coordinate_x,coordinate_y,2,-->,-0.11401
coordinate_x,coordinate_y,3,-->,0.04863
coordinate_x,coordinate_y,4,-->,0.089331
coordinate_x,coordinate_y,5,-->,0.053577
coordinate_x,speed,0,o-o,0.048293
coordinate_x,direction,0,o-o,-0.049117
coordinate_x,direction,1,-->,-0.024299
coordinate_x,direction,3,-->,0.024614
coordinate_x,closeTeams_2,0,o-o,-0.033724
coordinate_x,closeTeams_3,0,o-o,-0.037513
coordinate_x,closeTeams_4,0,o-o,-0.022548
coordinate_x,distantTeams_9,0,o-o,0.029981
coordinate_x,distantTeams_10,0,o-o,0.033296
coordinate_x,distantTeams_10,5,-->,0.020716
coordinate_x,closeOps_1,5,-->,0.02398
coordinate_x,closeOps_2,0,o-o,-0.01785
coordinate_x,closeOps_3,0,o-o,-0.046004
coordinate_x,closeOps_4,0,o-o,-0.047073
coordinate_x,closeOps_5,0,o-o,-0.039255
coordinate_x,closeOps_6,0,o-o,-0.039299
coordinate_x,closeOps_7,0,o-o,-0.028704
coordinate_x,closeOps_8,0,o-o,-0.019282
coordinate_x,distantOps_2,0,o-o,-0.037161
coordinate_y,coordinate_x,1,-->,-0.044632
coordinate_y,coordinate_x,2,-->,0.027731
coordinate_y,coordinate_x,3,-->,-0.038178
coordinate_y,coordinate_x,5,-->,-0.042362
coordinate_y,coordinate_y,1,-->,0.065672
coordinate_y,coordinate_y,2,-->,0.098543
coordinate_y,coordinate_y,3,-->,0.10786
coordinate_y,coordinate_y,4,-->,0.085072
coordinate_y,coordinate_y,5,-->,0.067416
coordinate_y,speed,0,o-o,-0.038024
coordinate_y,direction,0,o-o,-0.045413
coordinate_y,direction,1,-->,0.028787
coordinate_y,direction,5,-->,-0.021662
coordinate_y,closeTeams_1,4,-->,-0.024562
coordinate_y,closeTeams_2,5,-->,-0.023615
coordinate_y,distantTeams_10,5,-->,0.027855
coordinate_y,closeOps_2,0,o-o,0.020389
coordinate_y,closeOps_2,4,-->,-0.02529
coordinate_y,closeOps_4,4,-->,-0.023536
coordinate_y,closeOps_5,4,-->,-0.021755
speed,jerseyNumber,5,-->,-0.032367
speed,team,1,-->,0.035716
speed,team,4,-->,0.034203
speed,speed,1,-->,0.27343
speed,speed,2,-->,0.16913
speed,speed,3,-->,0.11587
speed,speed,4,-->,0.045618
speed,speed,5,-->,0.028439
speed,closeTeams_1,0,o-o,0.058175
speed,closeTeams_1,3,-->,0.022755
speed,closeTeams_1,5,-->,-0.02556
speed,closeTeams_2,0,o-o,-0.10142
speed,closeTeams_3,0,o-o,-0.16025
speed,closeTeams_3,1,-->,-0.025138
speed,closeTeams_3,2,-->,-0.024124
speed,closeTeams_3,4,-->,-0.028332
speed,closeTeams_4,0,o-o,-0.17232
speed,closeTeams_4,1,-->,-0.032647
speed,closeTeams_4,2,-->,-0.038137
speed,closeTeams_5,0,o-o,-0.15714
speed,closeTeams_5,1,-->,-0.020756
speed,closeTeams_5,2,-->,-0.022779
speed,closeTeams_6,0,o-o,-0.12061
speed,closeTeams_7,0,o-o,-0.0814
speed,closeTeams_7,2,-->,-0.033007
speed,closeTeams_7,3,-->,-0.028329
speed,closeTeams_8,0,o-o,-0.041374
speed,distantTeams_1,0,o-o,-0.065942
speed,distantTeams_1,1,-->,0.029242
speed,distantTeams_2,0,o-o,-0.021037
speed,distantTeams_2,2,-->,0.030292
speed,distantTeams_3,0,o-o,-0.037271
speed,distantTeams_4,0,o-o,-0.038368
speed,distantTeams_5,1,-->,-0.022766
speed,distantTeams_5,3,-->,0.024023
speed,distantTeams_6,0,o-o,0.073695
speed,distantTeams_7,0,o-o,0.1356
speed,distantTeams_7,2,-->,0.021319
speed,distantTeams_8,0,o-o,0.16302
speed,distantTeams_8,1,-->,0.026034
speed,distantTeams_8,2,-->,0.038166
speed,distantTeams_9,0,o-o,0.15927
speed,distantTeams_9,1,-->,0.034397
speed,distantTeams_9,2,-->,0.026544
speed,distantTeams_9,4,-->,0.020802
speed,distantTeams_10,0,o-o,0.10712
speed,distantTeams_10,1,-->,0.020749
speed,closeOps_1,0,o-o,0.039601
speed,closeOps_3,0,o-o,-0.11784
speed,closeOps_3,1,-->,-0.023716
speed,closeOps_4,0,o-o,-0.1747
speed,closeOps_4,1,-->,-0.026825
speed,closeOps_4,2,-->,-0.031438
speed,closeOps_4,4,-->,-0.02079
speed,closeOps_5,0,o-o,-0.19423
speed,closeOps_5,1,-->,-0.026474
speed,closeOps_5,4,-->,-0.029545
speed,closeOps_6,0,o-o,-0.1908
speed,closeOps_6,1,-->,-0.021064
speed,closeOps_7,0,o-o,-0.18307
speed,closeOps_7,5,-->,-0.029008
speed,closeOps_8,0,o-o,-0.16292
speed,closeOps_8,5,-->,-0.022856
speed,closeOps_9,0,o-o,-0.13235
speed,closeOps_9,3,-->,-0.021262
speed,closeOps_10,0,o-o,-0.10648
speed,closeOps_11,0,o-o,-0.086255
speed,distantOps_1,0,o-o,-0.044967
speed,distantOps_2,0,o-o,-0.02861
speed,distantOps_3,0,o-o,-0.02198
speed,distantOps_4,0,o-o,-0.021437
speed,distantOps_5,0,o-o,-0.024693
speed,distantOps_6,0,o-o,-0.017209
speed,distantOps_9,0,o-o,0.02203
speed,distantOps_10,0,o-o,0.023034
speed,distantOps_11,0,o-o,0.033159
direction,coordinate_x,4,-->,-0.025742
direction,coordinate_y,4,-->,0.023458
direction,direction,1,-->,0.25576
direction,direction,2,-->,0.11986
direction,direction,3,-->,0.073877
direction,direction,4,-->,0.023627
direction,closeTeams_4,0,o-o,0.020674
direction,closeTeams_5,0,o-o,0.020221
direction,closeTeams_6,0,o-o,0.017201
direction,distantTeams_4,3,-->,0.023525
direction,distantTeams_7,0,o-o,-0.023637
direction,distantTeams_8,0,o-o,-0.023555
direction,distantTeams_9,0,o-o,-0.026379
direction,closeOps_4,0,o-o,0.022316
direction,closeOps_6,0,o-o,0.020951
direction,closeOps_7,0,o-o,0.020359
direction,closeOps_8,0,o-o,0.019778
direction,closeOps_9,0,o-o,0.017637
direction,closeOps_11,0,o-o,0.019403
direction,distantOps_1,0,o-o,0.017119
direction,distantOps_9,0,o-o,0.017213
closeTeams_1,jerseyNumber,1,-->,0.060052
closeTeams_1,jerseyNumber,2,-->,-0.047751
closeTeams_1,jerseyNumber,3,-->,0.043158
closeTeams_1,jerseyNumber,5,-->,-0.024511
closeTeams_1,team,1,-->,-0.021991
closeTeams_1,team,2,-->,0.054066
closeTeams_1,team,5,-->,-0.02678
closeTeams_1,coordinate_y,4,-->,-0.025589
closeTeams_1,direction,5,-->,0.020975
closeTeams_1,closeTeams_1,1,-->,0.163
closeTeams_1,closeTeams_1,3,-->,-0.022437
closeTeams_1,closeTeams_1,4,-->,-0.038439
closeTeams_1,closeTeams_1,5,-->,-0.033135
closeTeams_1,closeTeams_2,0,o-o,0.10456
closeTeams_1,closeTeams_2,1,-->,0.027928
closeTeams_1,closeTeams_3,0,o-o,-0.16956
closeTeams_1,closeTeams_3,3,-->,0.03947
closeTeams_1,closeTeams_3,5,-->,0.037718
closeTeams_1,closeTeams_4,0,o-o,-0.27152
closeTeams_1,closeTeams_4,1,-->,-0.029625
closeTeams_1,closeTeams_4,3,-->,0.038711
closeTeams_1,closeTeams_4,4,-->,0.029085
closeTeams_1,closeTeams_4,5,-->,0.046
closeTeams_1,closeTeams_5,0,o-o,-0.29322
closeTeams_1,closeTeams_5,3,-->,0.054359
closeTeams_1,closeTeams_5,4,-->,0.031841
closeTeams_1,closeTeams_5,5,-->,0.062722
