id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
1668217,8,0,3,19,1,42,6,35.0,38.0
1668238,8,1,3,19,1,31,13,9.0,42.0
1668419,8,10,3,19,1,64,8,67.0,15.0
1668466,8,12,0,9,27,17,8,23.0,11.0
1668467,8,12,3,19,5,23,11,36.0,8.0
1668541,8,14,0,9,22,16,10,25.0,15.0
1668572,8,16,0,10,22,15,40,18.0,42.0
1668596,8,18,3,14,1,34,10,64.0,8.0
1668642,8,20,0,8,27,17,20,16.0,19.0
1668709,8,24,3,19,1,55,51,71.0,59.0
1668736,8,25,0,9,22,16,4,17.0,6.0
1668739,8,25,3,14,1,16,6,35.0,9.0
1668746,8,26,3,19,1,59,20,70.0,27.0
1668788,8,28,0,9,27,25,17,33.0,16.0
1668800,8,28,3,19,1,39,25,69.0,7.0
1668877,8,36,3,19,1,32,33,39.0,10.0
1668885,8,36,3,19,1,31,24,43.0,33.0
1668906,8,37,3,19,1,30,30,37.0,9.0
1668908,8,37,3,19,1,36,14,17.0,46.0
1668967,8,40,3,19,1,31,18,37.0,30.0
1668970,8,40,3,19,1,54,18,72.0,16.0
1669022,8,43,3,19,1,42,25,60.0,38.0
1669032,8,43,3,19,1,59,11,69.0,17.0
1669051,8,44,3,19,1,42,27,70.0,6.0
1669234,8,56,3,19,1,61,26,69.0,8.0
1669308,8,59,1,21,1,30,0,47.0,9.0
1669352,8,61,3,19,1,30,32,35.0,14.0
1669469,8,68,0,1,27,19,23,27.0,23.0
1669476,8,68,3,19,1,27,38,40.0,55.0
1669560,8,74,3,19,1,58,24,73.0,24.0
1669730,8,83,3,19,1,43,48,31.0,14.0
1669779,8,86,0,1,27,40,25,40.0,25.0
1669882,8,93,3,19,1,26,41,35.0,36.0
1669886,8,93,3,19,1,29,37,43.0,9.0
1669897,8,94,0,1,27,39,21,39.0,28.0
1668248,383,1,3,19,1,36,86,57.0,98.0
1668257,383,2,3,19,1,43,95,29.0,90.0
1668270,383,3,3,19,1,42,71,50.0,50.0
1668272,383,3,3,19,1,43,60,33.0,26.0
1668296,383,4,0,1,27,73,94,73.0,78.0
1668340,383,6,0,10,27,57,95,57.0,98.0
1668342,383,6,3,13,1,57,98,56.0,23.0
1668386,383,8,0,9,27,55,82,39.0,72.0
1668390,383,8,3,19,1,42,74,45.0,93.0
1668415,383,10,0,1,22,46,37,40.0,44.0
1668436,383,11,3,19,1,35,57,35.0,38.0
1668487,383,13,3,12,20,34,73,37.0,12.0
1668496,383,13,3,13,1,57,37,66.0,31.0
1668515,383,14,3,19,1,60,77,54.0,73.0
1668535,383,14,3,19,1,40,64,58.0,85.0
1668543,383,15,3,13,1,64,65,71.0,12.0
1668554,383,15,3,19,1,45,54,51.0,11.0
1668595,383,18,0,1,27,39,74,66.0,90.0
1668606,383,18,3,19,1,33,85,40.0,20.0
1668611,383,18,3,19,1,43,25,60.0,91.0
1668661,383,21,3,19,1,21,36,17.0,7.0
1668697,383,23,3,19,1,48,33,66.0,9.0
1668755,383,26,3,19,1,32,63,41.0,89.0
1668786,383,28,3,19,1,49,55,63.0,87.0
1668835,383,31,3,19,1,25,10,10.0,11.0
1668866,383,35,3,13,1,36,97,37.0,22.0
1668990,383,41,3,19,1,33,69,34.0,52.0
1668997,383,42,3,19,1,53,59,63.0,95.0
1669008,383,42,3,13,1,38,97,47.0,20.0
1669038,383,43,3,19,1,20,75,9.0,73.0
1669042,383,44,0,8,27,23,83,25.0,79.0
1669043,383,44,0,8,27,25,79,25.0,75.0
1669080,383,46,3,13,1,47,21,80.0,23.0
1669089,383,47,3,19,1,21,61,23.0,93.0
1669105,383,47,3,19,1,46,59,49.0,38.0
1669107,383,47,3,19,1,46,52,38.0,31.0
1669156,383,51,3,19,1,49,64,48.0,38.0
1669196,383,54,3,19,20,39,84,29.0,42.0
1669204,383,54,3,19,1,63,69,78.0,85.0
1669209,383,54,3,19,1,61,86,63.0,39.0
1669213,383,54,3,19,1,63,65,62.0,87.0
1669225,383,55,3,13,1,61,92,47.0,36.0
1669237,383,56,3,19,1,26,63,22.0,18.0
1669243,383,56,2,0,1,38,69,70.0,79.0
1669244,383,56,3,19,1,70,79,86.0,94.0
1669246,383,56,3,19,1,73,94,58.0,72.0
1669248,383,56,3,19,1,60,85,57.0,60.0
1669305,383,59,3,19,1,35,71,46.0,84.0
1669361,383,62,3,19,1,36,51,48.0,79.0
1669373,383,62,3,12,20,62,48,67.0,17.0
1669377,383,62,3,19,1,53,74,55.0,59.0
1669379,383,62,3,19,1,47,53,47.0,38.0
1669393,383,63,3,12,1,56,53,36.0,66.0
1669395,383,63,3,19,1,48,56,49.0,38.0
1669406,383,64,3,19,1,53,56,64.0,72.0
1669409,383,65,3,19,1,55,75,60.0,54.0
1669419,383,65,3,19,1,13,45,12.0,76.0
1669437,383,66,3,19,1,38,77,33.0,26.0
1669444,383,67,3,19,1,62,83,52.0,56.0
1669452,383,67,3,19,1,71,74,77.0,86.0
1669460,383,67,3,19,1,53,68,63.0,77.0
1669497,383,70,3,19,1,34,23,26.0,46.0
1669499,383,70,3,19,1,31,38,30.0,74.0
1669506,383,70,3,19,1,48,10,55.0,58.0
1669523,383,71,3,19,1,42,72,32.0,29.0
1669530,383,72,3,19,1,53,71,55.0,41.0
1669539,383,72,3,19,1,52,59,66.0,90.0
1669546,383,72,3,19,1,71,67,80.0,57.0
1669564,383,74,0,8,27,25,55,24.0,61.0
1669570,383,75,3,19,1,39,58,41.0,84.0
1669603,383,76,3,19,1,24,60,21.0,20.0
1669607,383,76,3,19,1,35,53,62.0,84.0
1669638,383,78,3,19,1,64,34,77.0,69.0
1669641,383,78,3,19,1,62,61,53.0,75.0
1669752,383,85,1,5,1,58,71,51.0,89.0
1669757,383,85,0,8,27,36,38,37.0,36.0
1669770,383,86,3,19,1,60,66,78.0,57.0
1669778,383,86,3,14,1,28,77,60.0,75.0
1669788,383,87,0,9,27,34,53,31.0,47.0
1669863,383,90,3,19,1,46,45,50.0,84.0
1668214,507,0,3,19,1,72,14,72.0,8.0
1668216,507,0,3,19,1,68,9,42.0,6.0
1668243,507,1,3,19,1,60,26,62.0,11.0
1668298,507,4,0,10,27,22,16,27.0,22.0
1668416,507,10,0,1,22,54,63,60.0,56.0
1668421,507,10,3,19,1,66,26,75.0,24.0
1668570,507,16,0,8,22,18,40,15.0,40.0
1668629,507,19,3,20,26,74,37,95.0,29.0
1668654,507,21,3,19,1,56,21,64.0,9.0
1668666,507,21,0,8,22,60,68,60.0,49.0
1668667,507,21,3,19,1,60,49,66.0,44.0
1668762,507,27,3,19,1,34,17,41.0,13.0
1668772,507,27,3,19,1,21,37,34.0,6.0
1668791,507,28,3,19,1,33,19,37.0,22.0
1668823,507,30,1,3,19,100,0,94.0,50.0
1668832,507,31,1,6,19,67,77,91.0,47.0
1668845,507,34,3,19,1,60,68,51.0,66.0
1668849,507,34,0,10,22,55,73,55.0,74.0
1668879,507,36,3,19,1,39,24,40.0,12.0
1668905,507,37,3,19,1,34,58,30.0,30.0
1668924,507,38,3,19,1,33,53,38.0,84.0
1668973,507,41,3,19,1,56,52,59.0,81.0
1668980,507,41,3,19,1,72,19,80.0,2.0
1669017,507,43,2,0,1,34,68,60.0,75.0
1669018,507,43,3,19,1,60,75,58.0,92.0
1669114,507,47,3,19,1,29,53,35.0,70.0
1669118,507,48,0,9,22,35,64,43.0,79.0
1669177,507,52,1,5,1,41,30,64.0,9.0
1669183,507,53,1,3,19,100,0,88.0,46.0
1669233,507,56,3,19,1,61,46,61.0,26.0
1669289,507,58,3,13,1,30,31,60.0,89.0
1669298,507,59,3,19,1,53,62,60.0,73.0
1669322,507,60,3,13,1,42,72,77.0,40.0
1669332,507,60,3,19,1,62,88,43.0,90.0
1669355,507,61,3,13,1,39,35,67.0,80.0
1669385,507,63,3,19,1,46,44,56.0,29.0
1669470,507,68,3,12,1,27,23,28.0,28.0
1669479,507,68,3,13,1,45,43,83.0,87.0
1669510,507,71,3,19,1,36,28,57.0,35.0
1669514,507,71,3,13,1,46,40,68.0,93.0
1669596,507,76,3,19,1,35,65,57.0,75.0
1669630,507,78,3,19,1,39,73,40.0,74.0
1669655,507,79,3,19,1,50,50,31.0,41.0
1669671,507,80,3,19,1,45,26,58.0,35.0
1669725,507,83,3,19,1,43,74,30.0,67.0
1669742,507,84,3,19,1,63,10,72.0,16.0
1669846,507,90,0,9,27,28,29,26.0,26.0
1669847,507,90,3,13,1,26,26,46.0,21.0
1669861,507,90,3,19,1,30,64,35.0,75.0
1669881,507,93,3,19,1,34,60,26.0,41.0
1668276,771,3,1,21,1,40,100,63.0,90.0
1668356,771,7,0,8,27,94,94,94.0,95.0
1668381,771,8,3,19,1,26,84,9.0,44.0
1668398,771,9,0,9,22,35,96,40.0,100.0
1668426,771,10,3,19,1,71,87,60.0,84.0
1668429,771,10,3,4,2,86,89,92.0,61.0
1668472,771,12,3,4,19,75,89,86.0,42.0
1668492,771,13,3,19,1,12,82,4.0,61.0
1668508,771,13,3,19,1,22,71,28.0,33.0
1668677,771,22,0,9,22,70,89,78.0,100.0
1668700,771,23,0,9,22,25,93,25.0,100.0
1668702,771,23,1,21,1,25,100,30.0,78.0
1668955,771,39,0,8,27,25,93,22.0,96.0
1669019,771,43,3,19,1,58,92,44.0,83.0
1669048,771,44,1,21,1,90,100,74.0,84.0
1669095,771,47,0,9,22,52,96,64.0,96.0
1669140,771,50,1,21,1,37,100,59.0,92.0
1669150,771,51,0,1,22,47,92,49.0,100.0
1669161,771,51,3,19,1,36,89,25.0,92.0
1669228,771,55,3,19,1,65,85,66.0,84.0
1669230,771,56,3,19,1,73,95,66.0,87.0
1669277,771,58,1,21,1,27,100,57.0,90.0
1669282,771,58,3,12,1,29,89,35.0,93.0
1669301,771,59,3,4,19,81,94,88.0,11.0
1669315,771,60,0,9,27,39,92,50.0,91.0
1669320,771,60,3,19,1,40,95,30.0,92.0
1669327,771,60,0,9,27,64,89,66.0,87.0
1669330,771,60,3,19,1,65,85,63.0,96.0
1669346,771,61,1,21,1,74,100,63.0,94.0
1669370,771,62,0,8,22,23,87,14.0,69.0
1669382,771,62,3,19,1,37,84,44.0,84.0
1669387,771,63,3,12,1,60,92,40.0,86.0
1669473,771,68,3,19,1,27,80,32.0,69.0
1669483,771,68,3,19,1,74,93,79.0,82.0
1669516,771,71,3,4,19,77,93,88.0,43.0
1669593,771,76,1,21,1,25,100,39.0,80.0
1669626,771,78,0,9,22,34,96,32.0,100.0
1669629,771,78,1,21,1,32,100,39.0,73.0
1669678,771,80,1,21,1,68,100,82.0,93.0
1669707,771,82,3,19,1,62,93,47.0,83.0
1669785,771,87,0,8,27,62,54,66.0,47.0
1669790,771,87,0,9,22,69,53,77.0,55.0
1669806,771,88,3,19,1,32,72,33.0,83.0
1669904,771,94,3,19,1,16,52,7.0,67.0
1669866,909,90,3,13,1,54,44,72.0,88.0
1669907,909,94,0,10,27,51,83,54.0,89.0
1669404,1023,64,3,19,1,75,13,64.0,9.0
1669433,1023,66,3,19,1,64,2,36.0,9.0
1669439,1023,67,2,0,1,53,25,73.0,12.0
1669440,1023,67,3,19,1,73,12,74.0,3.0
1669449,1023,67,0,1,27,76,70,72.0,75.0
1669451,1023,67,3,19,1,72,75,71.0,74.0
1669455,1023,67,3,19,1,63,88,43.0,87.0
1669459,1023,67,3,19,1,65,73,53.0,68.0
1669467,1023,68,0,1,27,76,84,81.0,77.0
1669502,1023,70,3,19,1,51,71,42.0,37.0
1669529,1023,71,3,19,1,66,96,53.0,71.0
1669544,1023,72,3,19,1,77,86,76.0,74.0
1669605,1023,76,3,19,1,44,1,34.0,18.0
1669653,1023,78,5,18,10,72,58,0.0,0.0
1669661,1023,80,2,0,1,43,51,52.0,57.0
1669682,1023,80,0,8,27,21,9,22.0,13.0
1669683,1023,80,3,19,1,22,13,14.0,24.0
1669691,1023,81,3,19,1,91,23,80.0,31.0
1669748,1023,84,0,8,27,45,63,55.0,68.0
1669750,1023,84,0,8,27,55,68,54.0,66.0
1669795,1023,87,3,19,1,30,17,22.0,61.0
1669801,1023,88,3,19,1,54,65,43.0,55.0
1669808,1023,88,0,8,27,67,25,93.0,30.0
1669813,1023,88,0,8,27,90,27,89.0,33.0
1669815,1023,88,5,18,13,89,33,0.0,0.0
1669824,1023,89,1,5,1,90,5,89.0,8.0
1668258,1024,2,3,19,1,29,90,28.0,38.0
1668284,1024,3,3,19,20,39,85,47.0,73.0
1668387,1024,8,3,19,1,39,72,48.0,64.0
1668392,1024,8,3,19,1,35,87,31.0,43.0
1668402,1024,9,3,19,1,51,60,71.0,82.0
