id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
2481759,152,1,3,19,1,65,91,57.0,64.0
2481784,152,2,3,19,1,44,91,34.0,72.0
2481819,152,3,3,19,1,41,92,44.0,76.0
2481876,152,6,3,19,1,36,93,26.0,71.0
2481880,152,6,2,0,1,65,87,77.0,90.0
2481905,152,6,0,8,22,24,73,17.0,64.0
2481922,152,7,0,1,27,54,90,49.0,100.0
2481977,152,10,3,19,1,44,93,38.0,85.0
2481981,152,11,3,19,1,68,71,74.0,92.0
2482035,152,13,3,19,1,25,94,11.0,58.0
2482061,152,14,3,19,1,65,94,40.0,74.0
2482101,152,16,3,19,1,69,68,81.0,83.0
2482105,152,16,3,19,1,75,90,69.0,78.0
2482126,152,17,3,19,1,40,72,10.0,39.0
2482156,152,18,3,19,1,38,85,25.0,74.0
2482182,152,19,3,19,1,48,91,45.0,68.0
2482191,152,20,3,19,1,75,93,73.0,70.0
2482195,152,20,3,19,1,84,93,71.0,75.0
2482197,152,20,3,19,1,81,69,60.0,77.0
2482200,152,20,3,19,1,75,75,58.0,81.0
2482203,152,20,3,4,19,97,90,96.0,60.0
2482218,152,21,3,19,1,34,80,30.0,59.0
2482220,152,21,3,19,1,29,84,20.0,77.0
2482241,152,22,3,19,1,58,92,46.0,70.0
2482251,152,22,3,19,1,63,69,39.0,77.0
2482260,152,23,0,8,27,59,88,64.0,82.0
2482261,152,23,3,19,1,64,82,70.0,78.0
2482332,152,27,3,19,1,53,87,39.0,81.0
2482358,152,28,3,19,1,54,69,52.0,48.0
2482382,152,29,0,9,27,71,79,79.0,77.0
2482401,152,30,3,19,1,44,86,35.0,69.0
2482434,152,33,3,19,1,35,93,49.0,75.0
2482501,152,39,3,19,1,55,89,61.0,74.0
2482548,152,42,3,19,1,42,85,24.0,79.0
2482551,152,42,3,19,1,39,90,42.0,75.0
2482554,152,42,3,19,1,44,93,64.0,73.0
2482562,152,42,3,19,1,37,90,27.0,73.0
2482578,152,43,3,19,1,40,93,33.0,68.0
2482610,152,44,3,19,1,41,89,40.0,79.0
2482630,152,45,3,4,19,92,85,92.0,59.0
2482644,152,46,3,19,1,26,71,49.0,90.0
2482648,152,46,3,19,1,24,78,34.0,46.0
2482655,152,46,3,19,21,92,72,88.0,59.0
2482663,152,46,3,12,1,19,74,7.0,47.0
2482702,152,48,3,19,1,28,98,45.0,94.0
2482708,152,48,0,9,27,29,89,28.0,41.0
2482748,152,50,3,19,1,41,93,60.0,88.0
2482752,152,50,1,21,1,57,100,46.0,43.0
2482787,152,52,0,8,27,95,76,98.0,75.0
2482793,152,52,0,1,22,57,86,52.0,78.0
2482821,152,54,1,21,1,18,100,37.0,92.0
2482828,152,54,3,13,1,20,87,24.0,26.0
2482837,152,55,3,13,1,11,88,42.0,88.0
2482855,152,55,3,19,1,91,90,66.0,81.0
2482858,152,56,3,19,1,74,92,63.0,70.0
2482905,152,58,3,19,1,56,88,59.0,71.0
2482907,152,58,3,19,1,57,93,35.0,82.0
2482910,152,58,3,19,1,53,96,75.0,94.0
2482932,152,59,3,19,1,48,96,24.0,67.0
2482939,152,59,3,19,1,42,96,41.0,80.0
2483022,152,63,3,19,1,81,93,80.0,80.0
2483024,152,63,3,19,1,68,98,86.0,90.0
2483045,152,64,3,19,1,86,93,71.0,89.0
2483064,152,65,3,19,1,20,72,21.0,64.0
2483158,152,71,3,19,20,18,96,34.0,89.0
2483178,152,72,3,19,1,41,94,26.0,92.0
2483210,152,73,3,19,1,57,94,55.0,78.0
2483226,152,74,0,1,27,24,88,27.0,91.0
2483244,152,75,0,10,27,14,70,100.0,100.0
2483253,152,78,0,9,22,57,88,57.0,84.0
2483260,152,78,3,19,1,53,87,68.0,93.0
2483268,152,78,3,19,1,54,92,55.0,76.0
