id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
2266488,32,60,3,19,1,72,36,76.0,48.0
2266606,32,68,0,8,27,67,52,68.0,50.0
2266686,32,78,0,9,22,68,57,69.0,63.0
2266735,32,81,0,8,27,91,15,89.0,15.0
2266797,32,85,0,10,27,76,14,78.0,14.0
2266798,32,85,0,8,27,78,14,79.0,12.0
2266848,32,89,0,8,27,94,6,98.0,4.0
2266855,32,89,0,8,27,97,11,99.0,14.0
2266861,32,89,3,19,1,62,32,52.0,28.0
2266868,32,90,5,18,11,37,39,0.0,0.0
2266882,32,90,0,10,27,44,15,68.0,14.0
2266886,32,91,0,8,27,73,12,80.0,11.0
2265399,61,0,3,19,1,49,50,38.0,49.0
2265484,61,3,0,1,27,36,32,30.0,38.0
2265644,61,12,5,18,13,71,48,0.0,0.0
2265662,61,12,0,8,22,50,79,48.0,82.0
2265665,61,12,3,19,1,37,78,30.0,89.0
2265711,61,15,0,8,22,65,91,61.0,92.0
2265713,61,15,3,19,1,61,92,59.0,83.0
2265775,61,18,0,10,27,67,30,63.0,36.0
2265776,61,18,0,8,22,63,36,62.0,46.0
2265778,61,18,0,8,22,62,46,56.0,47.0
2265782,61,18,3,19,1,56,49,58.0,61.0
2266026,61,30,0,8,27,75,71,83.0,81.0
2266027,61,30,2,0,1,83,81,94.0,66.0
2266028,61,30,5,18,10,94,66,0.0,0.0
2266139,61,38,3,19,1,33,72,44.0,70.0
2266229,61,43,2,2,1,13,47,11.0,66.0
2266242,61,45,0,1,22,54,6,0.0,0.0
2266307,61,49,3,12,1,64,81,57.0,76.0
2266373,61,52,3,19,1,71,52,71.0,38.0
2266390,61,53,0,8,22,75,14,74.0,0.0
2266520,61,61,0,9,22,69,61,70.0,71.0
2266609,61,68,5,18,13,90,58,0.0,0.0
2266639,61,73,0,8,27,69,24,70.0,21.0
2266739,61,83,0,8,27,63,29,44.0,35.0
2266741,61,83,3,19,1,44,35,58.0,93.0
2265400,70,0,3,19,1,38,49,29.0,80.0
2265441,70,1,0,9,27,38,69,37.0,64.0
2265442,70,1,3,19,1,37,64,37.0,57.0
2265510,70,4,3,19,1,31,27,31.0,19.0
2265522,70,5,3,12,20,8,25,19.0,13.0
2265542,70,6,3,19,1,33,23,28.0,31.0
2265583,70,8,3,19,1,28,18,41.0,35.0
2265623,70,10,3,19,1,30,31,40.0,6.0
2265668,70,13,3,19,1,29,54,20.0,68.0
2265686,70,14,3,12,20,36,61,37.0,90.0
2265702,70,14,3,19,1,27,61,27.0,14.0
2265849,70,21,3,19,1,47,22,61.0,1.0
2265879,70,22,3,19,1,37,61,37.0,69.0
2265965,70,28,0,8,27,32,14,36.0,10.0
2266007,70,29,3,19,1,72,52,79.0,9.0
2266030,70,31,3,19,1,45,48,59.0,68.0
2266062,70,33,0,9,22,71,4,75.0,0.0
2266100,70,34,0,9,22,10,36,0.0,0.0
2266158,70,39,0,9,27,30,72,33.0,62.0
2266196,70,41,3,19,1,53,45,65.0,6.0
2266314,70,50,3,19,1,38,26,51.0,13.0
2266318,70,50,1,5,1,56,24,59.0,80.0
2266328,70,50,3,19,1,37,66,34.0,71.0
2266374,70,52,0,8,27,71,38,70.0,36.0
2266384,70,53,3,19,1,58,25,48.0,6.0
2266388,70,53,3,19,1,63,19,75.0,14.0
2266607,70,68,3,19,1,68,50,74.0,16.0
2266637,70,73,0,1,27,47,12,69.0,24.0
2266845,70,88,3,19,1,76,23,73.0,31.0
2266860,70,89,3,12,20,40,27,62.0,32.0
2265474,180,2,3,19,1,70,44,73.0,5.0
2265477,180,2,0,8,27,68,15,69.0,20.0
2265528,180,5,0,9,27,21,72,20.0,76.0
2265535,180,5,3,19,1,12,68,23.0,52.0
2265656,180,12,3,19,1,83,5,80.0,15.0
2265687,180,14,0,9,22,63,10,65.0,6.0
2265705,180,14,0,1,27,71,31,70.0,30.0
2265725,180,15,3,19,1,29,26,38.0,35.0
2265734,180,15,3,19,1,71,13,83.0,5.0
2265762,180,17,0,8,22,54,27,47.0,22.0
2265764,180,17,3,19,1,47,22,47.0,3.0
2265779,180,18,0,9,22,38,54,44.0,53.0
2265805,180,19,3,19,1,60,66,50.0,73.0
2265816,180,20,3,19,1,30,42,33.0,19.0
2265840,180,21,0,8,22,47,63,41.0,66.0
2265842,180,21,3,19,1,41,66,29.0,82.0
2265845,180,21,0,8,22,40,76,40.0,77.0
2265898,180,24,3,19,1,88,89,74.0,82.0
2265909,180,24,3,19,1,46,70,40.0,70.0
2265942,180,26,3,19,1,57,53,68.0,27.0
2265986,180,28,3,19,1,64,65,64.0,62.0
2265987,180,28,0,8,22,64,62,58.0,68.0
2266072,180,33,3,19,1,76,13,82.0,3.0
2266094,180,34,3,19,1,45,64,61.0,80.0
2266105,180,35,3,19,1,79,98,65.0,84.0
2266184,180,41,3,19,1,72,83,67.0,79.0
2266190,180,41,0,8,27,73,26,74.0,26.0
2266192,180,41,3,19,1,74,26,67.0,15.0
2266202,180,41,3,19,20,31,67,33.0,75.0
2266212,180,42,3,13,1,73,65,77.0,16.0
2266238,180,44,3,19,1,33,59,25.0,55.0
2266323,180,50,3,19,1,38,25,55.0,1.0
2266344,180,51,3,19,1,35,48,27.0,42.0
2266461,180,57,3,19,1,27,5,32.0,12.0
2266511,180,61,3,19,1,72,83,87.0,89.0
2266514,180,61,0,9,22,84,91,93.0,90.0
2266614,180,70,1,3,19,100,100,91.0,44.0
2266672,180,76,1,6,19,71,10,93.0,53.0
2266676,180,77,1,3,19,100,97,90.0,37.0
2266708,180,79,0,8,22,71,33,67.0,13.0
2266710,180,79,3,19,1,67,13,71.0,2.0
2265499,259,3,3,19,1,12,67,30.0,100.0
2265599,259,8,1,5,1,21,45,68.0,27.0
2265611,259,9,3,19,1,8,48,20.0,18.0
2265614,259,9,3,19,1,10,50,25.0,86.0
2265645,259,12,4,17,13,100,100,29.0,52.0
2265646,259,12,3,11,1,12,59,41.0,96.0
2265675,259,13,3,19,1,16,57,26.0,81.0
2265797,259,19,3,19,1,11,65,25.0,73.0
2265992,259,28,3,19,1,3,60,25.0,93.0
2266029,259,30,4,16,10,100,100,6.0,34.0
2266067,259,33,3,19,1,7,59,26.0,12.0
2266089,259,34,3,11,20,13,68,39.0,97.0
2266127,259,37,4,16,13,100,100,30.0,73.0
2266128,259,37,3,11,1,14,72,32.0,36.0
2266321,259,50,3,19,1,12,44,26.0,20.0
2266445,259,56,1,5,1,10,59,66.0,89.0
2266475,259,58,3,14,1,18,70,69.0,61.0
2266551,259,63,1,5,1,21,77,69.0,73.0
2266869,259,90,4,17,11,100,100,63.0,61.0
2266870,259,90,3,11,1,9,49,31.0,53.0
2266656,327,75,0,9,27,28,46,27.0,30.0
2266658,327,76,3,19,1,27,30,22.0,16.0
2266670,327,76,0,8,27,71,14,69.0,18.0
2266687,327,78,0,8,22,32,43,31.0,37.0
2266688,327,78,3,19,1,31,37,36.0,32.0
2266690,327,78,3,19,1,33,31,44.0,5.0
2266704,327,79,3,19,1,70,26,76.0,40.0
2266751,327,83,3,19,1,31,8,44.0,4.0
