id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
84485,82,88,5,18,13,94,71,100.0,100.0
84569,82,92,3,4,2,99,74,91.0,44.0
84594,82,94,5,18,10,83,59,100.0,100.0
83162,196,5,1,5,1,12,57,67.0,33.0
83287,196,13,3,11,1,13,51,25.0,86.0
83293,196,14,3,19,1,11,64,25.0,92.0
83295,196,14,3,14,1,13,63,66.0,68.0
83393,196,22,1,5,1,12,63,69.0,32.0
83400,196,22,3,19,1,11,59,35.0,92.0
83405,196,23,3,19,1,24,35,35.0,51.0
83433,196,25,1,5,1,9,42,56.0,20.0
83490,196,29,3,13,20,13,66,70.0,67.0
83517,196,30,3,11,1,11,52,27.0,11.0
83546,196,32,3,19,1,12,62,17.0,18.0
83672,196,40,3,14,1,10,54,59.0,35.0
83784,196,45,4,16,9,0,0,13.0,55.0
83785,196,45,3,14,1,14,53,67.0,40.0
83917,196,51,3,14,1,5,62,31.0,74.0
83990,196,55,3,19,1,11,66,38.0,11.0
84031,196,58,3,14,1,14,64,74.0,80.0
84137,196,64,3,11,1,7,49,26.0,90.0
84179,196,67,4,17,1,0,0,31.0,4.0
84180,196,67,3,11,1,13,51,28.0,15.0
84209,196,69,3,14,1,8,63,53.0,53.0
84327,196,78,1,5,1,9,49,27.0,43.0
84368,196,80,3,14,1,26,46,65.0,37.0
84399,196,82,3,19,1,17,70,24.0,74.0
84486,196,88,4,16,13,0,0,6.0,29.0
84504,196,89,3,19,1,7,16,35.0,21.0
84546,196,91,3,14,1,27,59,70.0,7.0
83055,774,1,3,19,1,45,53,62.0,45.0
83057,774,1,2,0,1,64,17,92.0,8.0
83068,774,1,1,21,1,80,0,74.0,22.0
83079,774,2,1,21,1,80,0,73.0,21.0
83122,774,3,1,21,1,11,0,29.0,21.0
83131,774,4,3,19,1,38,12,61.0,9.0
83134,774,4,3,19,1,32,11,55.0,20.0
83190,774,7,1,21,1,39,0,63.0,5.0
83216,774,10,1,5,1,40,11,35.0,21.0
83243,774,11,1,21,1,43,0,52.0,10.0
83265,774,12,1,21,1,75,0,81.0,24.0
83319,774,15,3,19,1,29,13,33.0,10.0
83324,774,15,3,19,1,29,9,27.0,18.0
83328,774,15,3,13,1,32,10,89.0,22.0
83360,774,17,3,19,1,72,51,62.0,11.0
83404,774,23,3,19,1,32,13,24.0,35.0
83465,774,26,1,21,1,35,0,30.0,20.0
83500,774,29,0,9,22,40,12,43.0,0.0
83502,774,30,1,21,1,43,0,64.0,9.0
83518,774,30,3,19,1,27,11,28.0,26.0
83566,774,34,3,12,20,9,18,13.0,10.0
83576,774,35,1,21,1,50,0,74.0,10.0
83583,774,35,0,9,27,49,14,54.0,5.0
83587,774,35,3,19,1,36,18,40.0,22.0
83593,774,35,1,5,1,53,9,29.0,75.0
83604,774,36,3,19,1,46,22,67.0,17.0
83659,774,40,3,19,1,34,24,46.0,30.0
83667,774,40,3,19,1,37,16,32.0,42.0
83756,774,43,0,9,27,13,15,18.0,8.0
83758,774,44,0,8,27,18,8,17.0,8.0
83760,774,44,2,0,1,17,8,62.0,21.0
83761,774,44,3,19,1,62,21,70.0,11.0
83813,774,46,0,10,27,27,22,28.0,18.0
83879,774,49,3,19,1,42,6,55.0,5.0
83881,774,49,3,19,1,42,15,32.0,34.0
83887,774,50,1,21,1,80,0,73.0,7.0
83891,774,50,1,21,1,66,0,87.0,21.0
83896,774,50,3,12,20,57,6,37.0,5.0
83898,774,50,3,19,1,45,3,30.0,17.0
83905,774,51,3,19,1,55,5,69.0,4.0
83936,774,52,3,19,1,57,16,64.0,29.0
83942,774,52,0,10,27,55,44,54.0,51.0
83943,774,52,3,19,1,54,51,56.0,62.0
83991,774,55,3,19,1,38,11,42.0,48.0
83995,774,55,3,19,1,61,4,42.0,19.0
84030,774,58,3,19,1,28,42,14.0,64.0
84061,774,59,3,19,1,56,8,32.0,22.0
84064,774,59,3,19,1,40,7,39.0,15.0
84099,774,61,3,19,1,35,8,27.0,20.0
84140,774,64,3,19,1,36,9,58.0,12.0
84143,774,64,3,19,1,56,9,51.0,18.0
84189,774,67,3,19,1,29,8,26.0,21.0
84232,774,71,0,8,22,68,3,71.0,0.0
84243,774,71,3,19,1,60,7,69.0,11.0
84288,774,75,0,8,22,50,6,52.0,0.0
84291,774,75,1,21,1,52,0,37.0,13.0
84293,774,75,3,13,1,55,5,77.0,28.0
84304,774,76,3,4,19,77,6,89.0,57.0
84332,774,78,3,13,1,38,6,69.0,16.0
84339,774,78,1,21,1,81,0,76.0,9.0
84360,774,79,3,19,1,42,6,55.0,17.0
84365,774,80,3,19,1,58,7,55.0,14.0
84402,774,82,3,19,1,59,6,62.0,16.0
84416,774,83,3,19,1,55,8,38.0,32.0
84422,774,83,3,19,1,49,9,36.0,47.0
84440,774,85,3,19,1,23,8,36.0,6.0
84448,774,86,3,19,1,28,30,56.0,27.0
84478,774,87,0,10,22,39,40,45.0,44.0
