id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
1684978,63,0,0,1,27,83,17,79.0,30.0
1685018,63,3,0,1,27,79,39,68.0,50.0
1685053,63,6,3,19,21,81,60,74.0,44.0
1685100,63,9,0,9,27,31,11,31.0,15.0
1685157,63,12,0,9,22,29,7,31.0,7.0
1685161,63,12,0,9,22,35,6,37.0,0.0
1685173,63,13,0,10,27,8,18,9.0,20.0
1685197,63,14,0,1,27,75,33,76.0,60.0
1685242,63,15,3,19,1,60,3,34.0,11.0
1685286,63,18,3,19,1,39,12,36.0,16.0
1685442,63,26,3,19,1,64,7,52.0,18.0
1685445,63,26,3,19,1,60,17,47.0,68.0
1685550,63,32,3,13,20,63,46,76.0,76.0
1685597,63,34,3,19,1,58,8,53.0,15.0
1685600,63,34,3,20,1,65,4,79.0,18.0
1685643,63,37,0,1,22,42,26,73.0,7.0
1685689,63,38,3,13,1,80,15,89.0,38.0
1685701,63,39,0,8,22,91,20,0.0,0.0
1685805,63,46,0,8,22,86,82,93.0,80.0
1685859,63,48,0,8,27,13,22,21.0,20.0
1685860,63,49,2,0,1,21,20,33.0,35.0
1685862,63,49,0,8,27,33,35,30.0,34.0
1685892,63,51,3,19,1,35,22,24.0,12.0
1685904,63,51,3,19,1,69,3,45.0,26.0
1685911,63,52,0,1,27,74,18,76.0,12.0
1685964,63,56,3,19,1,74,78,76.0,70.0
1685966,63,56,3,19,1,69,75,59.0,94.0
1685994,63,58,0,9,27,34,11,36.0,12.0
1685997,63,58,0,8,27,36,12,41.0,10.0
1686253,63,72,3,19,1,47,22,34.0,16.0
1686257,63,72,3,19,1,28,7,27.0,15.0
1686318,63,76,0,8,27,38,17,47.0,38.0
1686320,63,76,3,19,1,47,38,39.0,62.0
1686337,63,76,1,3,1,100,0,95.0,42.0
1686398,63,80,3,19,1,75,28,70.0,31.0
1686474,63,84,0,1,22,76,52,87.0,25.0
1686589,63,90,3,19,20,24,6,39.0,8.0
1686638,63,92,0,1,27,88,21,70.0,43.0
1686641,63,92,3,19,1,80,25,76.0,24.0
1686642,63,92,3,19,1,76,24,82.0,8.0
1684989,534,1,0,8,27,40,94,36.0,97.0
1685093,534,8,0,8,22,72,88,61.0,75.0
1685109,534,9,0,8,22,60,90,58.0,83.0
1685111,534,9,3,19,1,58,83,41.0,64.0
1685156,534,12,0,8,27,70,91,71.0,93.0
1685158,534,12,0,8,22,71,93,69.0,93.0
1685159,534,12,3,19,1,69,93,65.0,94.0
1685171,534,13,0,8,22,96,78,92.0,82.0
1685203,534,14,3,19,1,62,86,70.0,78.0
1685280,534,17,3,19,1,74,13,70.0,16.0
1685324,534,20,0,1,27,69,91,71.0,100.0
1685398,534,24,3,19,1,55,62,59.0,83.0
1685401,534,24,0,8,27,55,79,67.0,79.0
1685409,534,25,3,19,1,65,95,70.0,82.0
1685412,534,25,3,19,1,64,81,63.0,61.0
1685501,534,30,3,19,1,59,78,53.0,94.0
