id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
26535,63,364,1586,1H,1891.177704,Others on the ball,Clearance,interception,12,40,29.0,75.0,t
26540,81,364,22,1H,1903.179406,Pass,Simple pass,,72,36,64.0,32.0,t
26544,81,364,1658,1H,1907.310659,Pass,Simple pass,,57,11,55.0,19.0,t
26548,81,364,1433,1H,1917.67692,Pass,Simple pass,,51,43,70.0,36.0,t
26554,63,364,1586,1H,1923.887819,Duel,Ground loose ball duel,won,23,45,16.0,44.0,t
26560,81,364,1630,1H,1954.151451,Duel,Air duel,won,35,11,59.0,6.0,t
26567,81,364,1630,1H,1967.61623,Pass,Simple pass,,53,8,17.0,47.0,t
26571,81,364,1433,1H,1984.445269,Pass,Simple pass,,50,52,61.0,46.0,t
26575,81,364,1658,1H,1994.292664,Pass,Simple pass,,67,27,68.0,34.0,t
26579,81,364,1658,1H,2002.810963,Pass,Simple pass,,61,19,68.0,26.0,t
26585,81,364,1998,1H,2022.097809,Others on the ball,Acceleration,,68,4,83.0,12.0,t
26591,63,364,1617,1H,2031.517343,Duel,Ground attacking duel,neutral,28,12,23.0,16.0,t
26596,81,364,1669,1H,2046.804011,Pass,Simple pass,interception,67,36,70.0,54.0,t
26601,63,364,1617,1H,2056.034523,Duel,Ground attacking duel,neutral,40,8,40.0,11.0,t
26605,81,364,1975,1H,2065.280356,Duel,Ground defending duel,neutral,47,42,57.0,49.0,t
26609,63,364,1368,1H,2072.790213,Pass,Simple pass,,70,95,60.0,75.0,t
26619,63,364,1586,1H,2103.224219,Pass,Simple pass,,64,29,79.0,30.0,t
26623,81,364,683,1H,2110.127152,Save attempt,Save attempt,gc,0,0,23.0,46.0,t
26630,81,364,1669,1H,2153.613004,Duel,Ground attacking duel,won,22,6,88.0,28.0,t
26639,63,364,1617,1H,2201.580068,Duel,Ground loose ball duel,won,29,16,28.0,11.0,t
26645,63,364,711,1H,2288.438208,Pass,High pass,,25,83,71.0,93.0,t
26658,63,364,36,1H,2373.01679,Free Kick,Throw in,,64,0,55.0,15.0,t
26662,63,364,711,1H,2385.587358,Pass,Simple pass,,56,81,35.0,41.0,t
26669,81,364,1658,1H,2402.897268,Pass,Simple pass,,32,77,40.0,73.0,t
26673,81,364,178,1H,2406.820006,Pass,Simple pass,,35,75,34.0,58.0,t
26681,81,364,1433,1H,2435.002666,Pass,Simple pass,,35,48,61.0,27.0,t
26690,63,364,1368,1H,2452.060132,Duel,Ground attacking duel,won,22,91,23.0,92.0,t
26698,63,364,1581,1H,2493.538375,Pass,Simple pass,,65,52,77.0,10.0,t
26703,81,364,683,1H,2502.074346,Save attempt,Reflexes,gc,0,0,7.0,31.0,t
26708,81,364,1669,1H,2520.955505,Pass,Simple pass,,82,2,95.0,10.0,t
26716,81,364,683,1H,2572.674042,Pass,Simple pass,,11,64,29.0,59.0,t
26721,63,364,711,1H,2583.047266,Pass,Head pass,,35,67,39.0,84.0,t
26726,81,364,22,1H,2590.666104,Pass,Simple pass,,66,23,69.0,11.0,t
26734,81,364,1975,1H,2617.873792,Pass,Simple pass,,36,46,44.0,48.0,t
26740,63,364,1261,1H,2637.938871,Duel,Ground attacking duel,neutral,60,88,51.0,88.0,t
26745,81,364,1669,1H,2643.721026,Duel,Ground defending duel,won,36,9,34.0,12.0,t
26751,81,364,22,1H,2652.10843,Pass,Simple pass,,64,24,53.0,19.0,t
26755,81,364,22,1H,2660.466894,Duel,Ground attacking duel,won,73,25,75.0,27.0,t
26763,63,364,1586,1H,2677.76196,Pass,Simple pass,,28,18,38.0,9.0,t
26770,81,364,1631,1H,2688.124221,Free Kick,Throw in,,64,100,62.0,77.0,t
26776,81,364,1658,1H,2693.773197,Pass,Simple pass,interception,66,64,72.0,52.0,t
26783,63,364,1292,1H,2701.475914,Pass,Simple pass,,33,52,36.0,60.0,t
26787,63,364,1368,1H,2708.357566,Duel,Ground attacking duel,neutral,38,92,44.0,100.0,t
26795,81,364,1998,1H,2761.535385,Pass,Simple pass,,63,6,60.0,29.0,t
26799,81,364,1631,1H,2771.200207,Pass,Cross,Right,91,72,89.0,90.0,t
26805,81,364,1975,1H,2786.923631,Pass,Simple pass,,64,14,68.0,20.0,t
26811,63,364,1362,1H,2794.539543,Save attempt,Save attempt,,100,100,26.0,62.0,t
26819,81,364,22,1H,2826.082986,Pass,Simple pass,,89,34,93.0,26.0,t
26825,63,364,1617,1H,2838.133817,Pass,Simple pass,,1,16,9.0,33.0,t
26831,81,364,1433,2H,1.029034000000138,Pass,Simple pass,,38,50,36.0,45.0,t
26836,63,364,1617,2H,14.71312399999988,Duel,Ground attacking duel,neutral,77,7,100.0,0.0,t
26845,81,364,1975,2H,54.69662500000004,Pass,Simple pass,,19,13,9.0,48.0,t
26850,81,364,1631,2H,70.62479100000019,Pass,Simple pass,,45,92,55.0,76.0,t
26858,81,364,1658,2H,96.78161700000008,Pass,Simple pass,,44,32,57.0,11.0,t
26864,63,364,1586,2H,120.90558999999983,Pass,Simple pass,,40,42,43.0,14.0,t
26871,63,364,1586,2H,145.13721799999985,Pass,Simple pass,,38,6,13.0,43.0,t
26878,81,364,1433,2H,163.66405200000008,Pass,Simple pass,,51,33,61.0,17.0,t
26882,81,364,1669,2H,171.19201900000007,Pass,Simple pass,,73,21,63.0,28.0,t
26889,63,364,711,2H,183.0226029999999,Pass,Simple pass,,24,69,31.0,72.0,t
26894,63,364,36,2H,189.65059400000015,Duel,Ground attacking duel,won,48,5,69.0,6.0,t
26904,81,364,1658,2H,207.501593,Pass,Simple pass,,31,19,30.0,6.0,t
26908,81,364,1433,2H,217.33870900000008,Pass,Simple pass,,39,53,47.0,51.0,t
26915,81,364,1669,2H,240.7675909999998,Pass,Simple pass,,63,7,58.0,22.0,t
26919,81,364,22,2H,245.4616460000002,Pass,Simple pass,,67,41,61.0,40.0,t
26926,81,364,1975,2H,260.274128,Pass,Simple pass,,59,22,65.0,46.0,t
26930,81,364,1630,2H,269.77545800000007,Pass,Simple pass,,67,17,69.0,7.0,t
26938,63,364,711,2H,304.80945500000007,Pass,Simple pass,interception,34,75,24.0,86.0,t
